Ref_Date,GEO,NAICS,EXPENDITURE,Vector,Coordinate,Value
2013,Canada,Motion picture and video production,Total operating expense,v97924918,1.1.1,100.0
2013,Canada,Motion picture and video production,Cost of goods sold,v97924919,1.1.2,23.4
2013,Canada,Motion picture and video production,"Salaries, wages, commissions and benefits",v97924920,1.1.3,23.3
2013,Canada,Motion picture and video production,Subcontracts,v97924921,1.1.4,6.1
2013,Canada,Motion picture and video production,Research and development fees,v97924922,1.1.5,0.1
2013,Canada,Motion picture and video production,Professional and business fees,v97924923,1.1.6,3.7
2013,Canada,Motion picture and video production,Utilities,v97924924,1.1.7,0.4
2013,Canada,Motion picture and video production,Office and computer related expenses,v97924925,1.1.8,1.5
2013,Canada,Motion picture and video production,"Telephone, Internet and other telecommunication",v97924926,1.1.9,0.6
2013,Canada,Motion picture and video production,"Business taxes, licences and permits",v97924927,1.1.10,0.1
2013,Canada,Motion picture and video production,"Royalties, franchise fees, and memberships",v97924928,1.1.11,0.3
2013,Canada,Motion picture and video production,Crown charges,v97924929,1.1.12,0.0
2013,Canada,Motion picture and video production,Rental and leasing,v97924930,1.1.13,3.4
2013,Canada,Motion picture and video production,Repair and maintenance,v97924931,1.1.14,1.3
2013,Canada,Motion picture and video production,Amortization and depreciation,v97924932,1.1.15,10.5
2013,Canada,Motion picture and video production,Insurance,v97924933,1.1.16,0.5
2013,Canada,Motion picture and video production,"Advertising, marketing, promotions, meals and entertainment",v97924934,1.1.17,1.3
2013,Canada,Motion picture and video production,"Travel, meetings and conventions",v97924935,1.1.18,1.3
2013,Canada,Motion picture and video production,Financial services,v97924936,1.1.19,0.6
2013,Canada,Motion picture and video production,Other non-production-related costs and expenses,v97924937,1.1.20,0.4
2013,Canada,Motion picture and video production,All other cost and expenses,v97924938,1.1.21,21.1
