Ref_Date,GEO,VEHICLE,SALES,Vector,Coordinate,Value
2011,Saskatchewan,Buses,"Dollars (x 1,000)",v53846251,9.6.2,10161.0
2012,Saskatchewan,Buses,"Dollars (x 1,000)",v53846251,9.6.2,12895.0
2013,Saskatchewan,Buses,"Dollars (x 1,000)",v53846251,9.6.2,15910.0
2014,Saskatchewan,Buses,"Dollars (x 1,000)",v53846251,9.6.2,36402.0
2015,Saskatchewan,Buses,"Dollars (x 1,000)",v53846251,9.6.2,18475.0
2010,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,204537.0
2011,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,224147.0
2012,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,247785.0
2013,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,263224.0
2014,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,277191.0
2015,Alberta,"Total, new motor vehicles",Units,v53846134,10.1.1,241918.0
2010,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,7651117.0
2011,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,8599490.0
2012,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,9369124.0
2013,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,10347218.0
2014,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,11325487.0
2015,Alberta,"Total, new motor vehicles","Dollars (x 1,000)",v53846135,10.1.2,9844754.0
2010,Alberta,Passenger cars,Units,v53846136,10.2.1,57855.0
2011,Alberta,Passenger cars,Units,v53846136,10.2.1,53084.0
2012,Alberta,Passenger cars,Units,v53846136,10.2.1,59383.0
2013,Alberta,Passenger cars,Units,v53846136,10.2.1,62568.0
2014,Alberta,Passenger cars,Units,v53846136,10.2.1,59892.0
2015,Alberta,Passenger cars,Units,v53846136,10.2.1,51845.0
2010,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1662814.0
2011,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1524820.0
2012,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1692581.0
2013,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1812630.0
2014,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1781479.0
2015,Alberta,Passenger cars,"Dollars (x 1,000)",v53846137,10.2.2,1586628.0
2010,Alberta,Trucks,Units,v53846138,10.3.1,146682.0
2011,Alberta,Trucks,Units,v53846138,10.3.1,171063.0
2012,Alberta,Trucks,Units,v53846138,10.3.1,188402.0
2013,Alberta,Trucks,Units,v53846138,10.3.1,200656.0
2014,Alberta,Trucks,Units,v53846138,10.3.1,217299.0
2015,Alberta,Trucks,Units,v53846138,10.3.1,190073.0
2010,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,5988303.0
2011,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,7074670.0
2012,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,7676543.0
2013,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,8534588.0
2014,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,9544007.0
2015,Alberta,Trucks,"Dollars (x 1,000)",v53846139,10.3.2,8258126.0
2010,Alberta,Light trucks,Units,v53846140,10.4.1,142531.0
2011,Alberta,Light trucks,Units,v53846140,10.4.1,163459.0
2012,Alberta,Light trucks,Units,v53846140,10.4.1,179225.0
2013,Alberta,Light trucks,Units,v53846140,10.4.1,193258.0
2014,Alberta,Light trucks,Units,v53846140,10.4.1,207421.0
2015,Alberta,Light trucks,Units,v53846140,10.4.1,184581.0
2010,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,5411507.0
2011,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,6215219.0
2012,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,6641206.0
2013,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,7705282.0
2014,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,8302679.0
2015,Alberta,Light trucks,"Dollars (x 1,000)",v53846141,10.4.2,7603748.0
2010,Alberta,Heavy trucks,Units,v53846142,10.5.1,3893.0
2011,Alberta,Heavy trucks,Units,v53846142,10.5.1,7299.0
2012,Alberta,Heavy trucks,Units,v53846142,10.5.1,8878.0
2013,Alberta,Heavy trucks,Units,v53846142,10.5.1,6903.0
2014,Alberta,Heavy trucks,Units,v53846142,10.5.1,9061.0
2015,Alberta,Heavy trucks,Units,v53846142,10.5.1,4820.0
2010,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,429013.0
2011,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,779564.0
2012,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,978140.0
2013,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,747671.0
2014,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,1081441.0
2015,Alberta,Heavy trucks,"Dollars (x 1,000)",v53846143,10.5.2,557504.0
2010,Alberta,Buses,Units,v53846144,10.6.1,258.0
2011,Alberta,Buses,Units,v53846144,10.6.1,305.0
2012,Alberta,Buses,Units,v53846144,10.6.1,299.0
2013,Alberta,Buses,Units,v53846144,10.6.1,495.0
2014,Alberta,Buses,Units,v53846144,10.6.1,817.0
2015,Alberta,Buses,Units,v53846144,10.6.1,672.0
2010,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,147783.0
2011,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,79888.0
2012,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,57196.0
2013,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,81634.0
2014,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,159888.0
2015,Alberta,Buses,"Dollars (x 1,000)",v53846145,10.6.2,96873.0
2010,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,156656.0
2011,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,160582.0
2012,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,176319.0
2013,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,184234.0
2014,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,197903.0
2015,British Columbia and the Territories,"Total, new motor vehicles",Units,v53846146,11.1.1,211044.0
2010,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,5457533.0
2011,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,5693331.0
2012,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,6192967.0
2013,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,6703089.0
2014,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,7365684.0
2015,British Columbia and the Territories,"Total, new motor vehicles","Dollars (x 1,000)",v53846147,11.1.2,8170008.0
2010,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,68097.0
2011,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,64646.0
2012,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,73663.0
2013,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,74761.0
2014,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,77329.0
2015,British Columbia and the Territories,Passenger cars,Units,v53846148,11.2.1,76824.0
2010,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,1957370.0
2011,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,1883963.0
2012,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,2119281.0
2013,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,2155026.0
2014,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,2282543.0
2015,British Columbia and the Territories,Passenger cars,"Dollars (x 1,000)",v53846149,11.2.2,2402087.0
2010,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,88559.0
2011,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,95936.0
2012,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,102656.0
2013,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,109473.0
2014,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,120574.0
2015,British Columbia and the Territories,Trucks,Units,v53846150,11.3.1,134220.0
2010,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,3500163.0
2011,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,3809368.0
2012,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,4073687.0
2013,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,4548063.0
2014,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,5083141.0
2015,British Columbia and the Territories,Trucks,"Dollars (x 1,000)",v53846151,11.3.2,5767921.0
2010,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,86606.0
2011,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,92929.0
2012,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,98841.0
2013,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,105800.0
2014,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,116410.0
2015,British Columbia and the Territories,Light trucks,Units,v53846152,11.4.1,130227.0
2010,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,3235132.0
2011,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,3491447.0
2012,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,3659030.0
2013,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,4128076.0
2014,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,4586202.0
2015,British Columbia and the Territories,Light trucks,"Dollars (x 1,000)",v53846153,11.4.2,5274622.0
2010,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,1788.0
2011,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,2613.0
2012,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,3245.0
2013,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,3337.0
2014,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,3746.0
2015,British Columbia and the Territories,Heavy trucks,Units,v53846154,11.5.1,3688.0
2010,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,190847.0
2011,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,283050.0
2012,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,357330.0
2013,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,360321.0
2014,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,428641.0
2015,British Columbia and the Territories,Heavy trucks,"Dollars (x 1,000)",v53846155,11.5.2,426982.0
2010,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,165.0
2011,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,394.0
2012,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,570.0
2013,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,336.0
2014,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,418.0
2015,British Columbia and the Territories,Buses,Units,v53846156,11.6.1,305.0
2010,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,74184.0
2011,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,34870.0
2012,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,57326.0
2013,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,59665.0
2014,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,68298.0
2015,British Columbia and the Territories,Buses,"Dollars (x 1,000)",v53846157,11.6.2,66317.0
