Ref_Date,GEO,AREA,EST,Vector,Coordinate,Value
2012,Nova Scotia,Total field area,Acres,v52222146,4.3.2,480.00000000
2013,Nova Scotia,Total field area,Acres,v52222146,4.3.2,416.00000000
2014,Nova Scotia,Total field area,Acres,v52222146,4.3.2,600.00000000
2015,Nova Scotia,Total field area,Acres,v52222146,4.3.2,575.00000000
2007,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,211.00000000
2008,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,F
2009,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,F
2010,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,225.00000000
2011,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,214.00000000
2012,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,194.00000000
2013,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,168.00000000
2014,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,243.00000000
2015,Nova Scotia,Total field area,Hectares,v52222157,4.3.3,233.00000000
2007,Nova Scotia,Total container area,Acres,v52222168,4.4.2,0.00000000
2008,Nova Scotia,Total container area,Acres,v52222168,4.4.2,57.00000000
2009,Nova Scotia,Total container area,Acres,v52222168,4.4.2,49.00000000
2010,Nova Scotia,Total container area,Acres,v52222168,4.4.2,60.00000000
2011,Nova Scotia,Total container area,Acres,v52222168,4.4.2,85.00000000
2012,Nova Scotia,Total container area,Acres,v52222168,4.4.2,55.00000000
2013,Nova Scotia,Total container area,Acres,v52222168,4.4.2,27.00000000
2014,Nova Scotia,Total container area,Acres,v52222168,4.4.2,24.00000000
2015,Nova Scotia,Total container area,Acres,v52222168,4.4.2,28.00000000
2007,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,0.00000000
2008,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,23.00000000
2009,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,20.00000000
2010,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,24.00000000
2011,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,34.00000000
2012,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,22.00000000
2013,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,11.00000000
2014,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,10.00000000
2015,Nova Scotia,Total container area,Hectares,v52222179,4.4.3,11.00000000
2007,New Brunswick,Total nurseries,Number,v52222136,5.1.1,14.00000000
2008,New Brunswick,Total nurseries,Number,v52222136,5.1.1,13.00000000
2009,New Brunswick,Total nurseries,Number,v52222136,5.1.1,12.00000000
2010,New Brunswick,Total nurseries,Number,v52222136,5.1.1,11.00000000
2011,New Brunswick,Total nurseries,Number,v52222136,5.1.1,10.00000000
2012,New Brunswick,Total nurseries,Number,v52222136,5.1.1,15.00000000
2013,New Brunswick,Total nurseries,Number,v52222136,5.1.1,13.00000000
2014,New Brunswick,Total nurseries,Number,v52222136,5.1.1,15.00000000
2015,New Brunswick,Total nurseries,Number,v52222136,5.1.1,13.00000000
2007,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,0.00000000
2008,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,244.00000000
2009,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,F
2010,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,x
2011,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,190.00000000
2012,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,205.00000000
2013,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,188.00000000
2014,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,F
2015,New Brunswick,Total nursery area,Acres,v52222191,5.2.2,203.00000000
2007,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,0.00000000
2008,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,99.00000000
2009,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,F
2010,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,x
2011,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,77.00000000
2012,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,83.00000000
2013,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,76.00000000
2014,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,F
2015,New Brunswick,Total nursery area,Hectares,v52222202,5.2.3,82.00000000
2007,New Brunswick,Total field area,Acres,v52222147,5.3.2,280.00000000
2008,New Brunswick,Total field area,Acres,v52222147,5.3.2,213.00000000
2009,New Brunswick,Total field area,Acres,v52222147,5.3.2,F
2010,New Brunswick,Total field area,Acres,v52222147,5.3.2,x
2011,New Brunswick,Total field area,Acres,v52222147,5.3.2,150.00000000
2012,New Brunswick,Total field area,Acres,v52222147,5.3.2,165.00000000
2013,New Brunswick,Total field area,Acres,v52222147,5.3.2,165.00000000
2014,New Brunswick,Total field area,Acres,v52222147,5.3.2,180.00000000
2015,New Brunswick,Total field area,Acres,v52222147,5.3.2,170.00000000
2007,New Brunswick,Total field area,Hectares,v52222158,5.3.3,113.00000000
2008,New Brunswick,Total field area,Hectares,v52222158,5.3.3,86.00000000
2009,New Brunswick,Total field area,Hectares,v52222158,5.3.3,F
2010,New Brunswick,Total field area,Hectares,v52222158,5.3.3,x
2011,New Brunswick,Total field area,Hectares,v52222158,5.3.3,61.00000000
2012,New Brunswick,Total field area,Hectares,v52222158,5.3.3,67.00000000
2013,New Brunswick,Total field area,Hectares,v52222158,5.3.3,67.00000000
2014,New Brunswick,Total field area,Hectares,v52222158,5.3.3,73.00000000
2015,New Brunswick,Total field area,Hectares,v52222158,5.3.3,69.00000000
2007,New Brunswick,Total container area,Acres,v52222169,5.4.2,0.00000000
2008,New Brunswick,Total container area,Acres,v52222169,5.4.2,31.00000000
2009,New Brunswick,Total container area,Acres,v52222169,5.4.2,F
2010,New Brunswick,Total container area,Acres,v52222169,5.4.2,F
2011,New Brunswick,Total container area,Acres,v52222169,5.4.2,40.00000000
2012,New Brunswick,Total container area,Acres,v52222169,5.4.2,40.00000000
2013,New Brunswick,Total container area,Acres,v52222169,5.4.2,23.00000000
2014,New Brunswick,Total container area,Acres,v52222169,5.4.2,F
2015,New Brunswick,Total container area,Acres,v52222169,5.4.2,33.00000000
2007,New Brunswick,Total container area,Hectares,v52222180,5.4.3,0.00000000
2008,New Brunswick,Total container area,Hectares,v52222180,5.4.3,13.00000000
2009,New Brunswick,Total container area,Hectares,v52222180,5.4.3,F
2010,New Brunswick,Total container area,Hectares,v52222180,5.4.3,F
2011,New Brunswick,Total container area,Hectares,v52222180,5.4.3,16.00000000
2012,New Brunswick,Total container area,Hectares,v52222180,5.4.3,16.00000000
2013,New Brunswick,Total container area,Hectares,v52222180,5.4.3,9.00000000
2014,New Brunswick,Total container area,Hectares,v52222180,5.4.3,F
2015,New Brunswick,Total container area,Hectares,v52222180,5.4.3,13.00000000
2007,Quebec,Total nurseries,Number,v52222137,6.1.1,275.00000000
2008,Quebec,Total nurseries,Number,v52222137,6.1.1,269.00000000
2009,Quebec,Total nurseries,Number,v52222137,6.1.1,263.00000000
2010,Quebec,Total nurseries,Number,v52222137,6.1.1,257.00000000
2011,Quebec,Total nurseries,Number,v52222137,6.1.1,250.00000000
2012,Quebec,Total nurseries,Number,v52222137,6.1.1,240.00000000
2013,Quebec,Total nurseries,Number,v52222137,6.1.1,235.00000000
2014,Quebec,Total nurseries,Number,v52222137,6.1.1,210.00000000
2015,Quebec,Total nurseries,Number,v52222137,6.1.1,205.00000000
2007,Quebec,Total nursery area,Acres,v52222192,6.2.2,0.00000000
2008,Quebec,Total nursery area,Acres,v52222192,6.2.2,9202.00000000
2009,Quebec,Total nursery area,Acres,v52222192,6.2.2,8739.00000000
2010,Quebec,Total nursery area,Acres,v52222192,6.2.2,8276.00000000
2011,Quebec,Total nursery area,Acres,v52222192,6.2.2,7450.00000000
2012,Quebec,Total nursery area,Acres,v52222192,6.2.2,6985.00000000
2013,Quebec,Total nursery area,Acres,v52222192,6.2.2,6498.00000000
2014,Quebec,Total nursery area,Acres,v52222192,6.2.2,6057.00000000
2015,Quebec,Total nursery area,Acres,v52222192,6.2.2,5517.00000000
2007,Quebec,Total nursery area,Hectares,v52222203,6.2.3,0.00000000
2008,Quebec,Total nursery area,Hectares,v52222203,6.2.3,3724.00000000
2009,Quebec,Total nursery area,Hectares,v52222203,6.2.3,3537.00000000
2010,Quebec,Total nursery area,Hectares,v52222203,6.2.3,3349.00000000
2011,Quebec,Total nursery area,Hectares,v52222203,6.2.3,3015.00000000
2012,Quebec,Total nursery area,Hectares,v52222203,6.2.3,2827.00000000
2013,Quebec,Total nursery area,Hectares,v52222203,6.2.3,2630.00000000
2014,Quebec,Total nursery area,Hectares,v52222203,6.2.3,2451.00000000
2015,Quebec,Total nursery area,Hectares,v52222203,6.2.3,2233.00000000
2007,Quebec,Total field area,Acres,v52222148,6.3.2,8119.00000000
2008,Quebec,Total field area,Acres,v52222148,6.3.2,8023.00000000
2009,Quebec,Total field area,Acres,v52222148,6.3.2,7359.00000000
2010,Quebec,Total field area,Acres,v52222148,6.3.2,6983.00000000
2011,Quebec,Total field area,Acres,v52222148,6.3.2,6350.00000000
2012,Quebec,Total field area,Acres,v52222148,6.3.2,5930.00000000
2013,Quebec,Total field area,Acres,v52222148,6.3.2,5246.00000000
2014,Quebec,Total field area,Acres,v52222148,6.3.2,4806.00000000
2015,Quebec,Total field area,Acres,v52222148,6.3.2,4215.00000000
2007,Quebec,Total field area,Hectares,v52222159,6.3.3,3286.00000000
2008,Quebec,Total field area,Hectares,v52222159,6.3.3,3247.00000000
2009,Quebec,Total field area,Hectares,v52222159,6.3.3,2978.00000000
2010,Quebec,Total field area,Hectares,v52222159,6.3.3,2826.00000000
2011,Quebec,Total field area,Hectares,v52222159,6.3.3,2570.00000000
2012,Quebec,Total field area,Hectares,v52222159,6.3.3,2400.00000000
2013,Quebec,Total field area,Hectares,v52222159,6.3.3,2123.00000000
2014,Quebec,Total field area,Hectares,v52222159,6.3.3,1945.00000000
2015,Quebec,Total field area,Hectares,v52222159,6.3.3,1706.00000000
2007,Quebec,Total container area,Acres,v52222170,6.4.2,0.00000000
2008,Quebec,Total container area,Acres,v52222170,6.4.2,1179.00000000
2009,Quebec,Total container area,Acres,v52222170,6.4.2,1380.00000000
2010,Quebec,Total container area,Acres,v52222170,6.4.2,1293.00000000
2011,Quebec,Total container area,Acres,v52222170,6.4.2,1100.00000000
2012,Quebec,Total container area,Acres,v52222170,6.4.2,1055.00000000
2013,Quebec,Total container area,Acres,v52222170,6.4.2,1252.00000000
2014,Quebec,Total container area,Acres,v52222170,6.4.2,1251.00000000
2015,Quebec,Total container area,Acres,v52222170,6.4.2,1302.00000000
2007,Quebec,Total container area,Hectares,v52222181,6.4.3,0.00000000
2008,Quebec,Total container area,Hectares,v52222181,6.4.3,477.00000000
2009,Quebec,Total container area,Hectares,v52222181,6.4.3,558.00000000
2010,Quebec,Total container area,Hectares,v52222181,6.4.3,523.00000000
2011,Quebec,Total container area,Hectares,v52222181,6.4.3,445.00000000
2012,Quebec,Total container area,Hectares,v52222181,6.4.3,427.00000000
