Ref_Date,GEO,AREA,EST,Vector,Coordinate,Value
2007,Canada,Total nurseries,Number,v52222143,1.1.1,1597.00000000
2008,Canada,Total nurseries,Number,v52222143,1.1.1,1573.00000000
2009,Canada,Total nurseries,Number,v52222143,1.1.1,1550.00000000
2010,Canada,Total nurseries,Number,v52222143,1.1.1,1526.00000000
2011,Canada,Total nurseries,Number,v52222143,1.1.1,1500.00000000
2012,Canada,Total nurseries,Number,v52222143,1.1.1,1480.00000000
2013,Canada,Total nurseries,Number,v52222143,1.1.1,1434.00000000
2014,Canada,Total nurseries,Number,v52222143,1.1.1,1377.00000000
2015,Canada,Total nurseries,Number,v52222143,1.1.1,1332.00000000
2007,Canada,Total nursery area,Acres,v52222198,1.2.2,0.00000000
2008,Canada,Total nursery area,Acres,v52222198,1.2.2,55141.00000000
2009,Canada,Total nursery area,Acres,v52222198,1.2.2,55512.00000000
2010,Canada,Total nursery area,Acres,v52222198,1.2.2,55929.00000000
2011,Canada,Total nursery area,Acres,v52222198,1.2.2,55245.00000000
2012,Canada,Total nursery area,Acres,v52222198,1.2.2,51860.00000000
2013,Canada,Total nursery area,Acres,v52222198,1.2.2,45488.00000000
2014,Canada,Total nursery area,Acres,v52222198,1.2.2,44024.00000000
2015,Canada,Total nursery area,Acres,v52222198,1.2.2,42493.00000000
2007,Canada,Total nursery area,Hectares,v52222209,1.2.3,0.00000000
2008,Canada,Total nursery area,Hectares,v52222209,1.2.3,22315.00000000
2009,Canada,Total nursery area,Hectares,v52222209,1.2.3,22465.00000000
2010,Canada,Total nursery area,Hectares,v52222209,1.2.3,22634.00000000
2011,Canada,Total nursery area,Hectares,v52222209,1.2.3,22357.00000000
2012,Canada,Total nursery area,Hectares,v52222209,1.2.3,20987.00000000
2013,Canada,Total nursery area,Hectares,v52222209,1.2.3,18408.00000000
2014,Canada,Total nursery area,Hectares,v52222209,1.2.3,17816.00000000
2015,Canada,Total nursery area,Hectares,v52222209,1.2.3,17196.00000000
2007,Canada,Total field area,Acres,v52222154,1.3.2,56285.00000000
2008,Canada,Total field area,Acres,v52222154,1.3.2,45362.00000000
2009,Canada,Total field area,Acres,v52222154,1.3.2,45222.00000000
2010,Canada,Total field area,Acres,v52222154,1.3.2,47274.00000000
2011,Canada,Total field area,Acres,v52222154,1.3.2,46380.00000000
2012,Canada,Total field area,Acres,v52222154,1.3.2,43335.00000000
2013,Canada,Total field area,Acres,v52222154,1.3.2,38025.00000000
2014,Canada,Total field area,Acres,v52222154,1.3.2,36975.00000000
2015,Canada,Total field area,Acres,v52222154,1.3.2,35376.00000000
2007,Canada,Total field area,Hectares,v52222165,1.3.3,22778.00000000
2008,Canada,Total field area,Hectares,v52222165,1.3.3,18357.00000000
2009,Canada,Total field area,Hectares,v52222165,1.3.3,18301.00000000
2010,Canada,Total field area,Hectares,v52222165,1.3.3,19131.00000000
2011,Canada,Total field area,Hectares,v52222165,1.3.3,18769.00000000
2012,Canada,Total field area,Hectares,v52222165,1.3.3,17537.00000000
2013,Canada,Total field area,Hectares,v52222165,1.3.3,15388.00000000
2014,Canada,Total field area,Hectares,v52222165,1.3.3,14963.00000000
2015,Canada,Total field area,Hectares,v52222165,1.3.3,14316.00000000
2007,Canada,Total container area,Acres,v52222176,1.4.2,0.00000000
2008,Canada,Total container area,Acres,v52222176,1.4.2,9779.00000000
2009,Canada,Total container area,Acres,v52222176,1.4.2,10290.00000000
2010,Canada,Total container area,Acres,v52222176,1.4.2,8655.00000000
2011,Canada,Total container area,Acres,v52222176,1.4.2,F
2012,Canada,Total container area,Acres,v52222176,1.4.2,8525.00000000
2013,Canada,Total container area,Acres,v52222176,1.4.2,7463.00000000
2014,Canada,Total container area,Acres,v52222176,1.4.2,7048.00000000
2015,Canada,Total container area,Acres,v52222176,1.4.2,7117.00000000
2007,Canada,Total container area,Hectares,v52222187,1.4.3,0.00000000
2008,Canada,Total container area,Hectares,v52222187,1.4.3,3957.00000000
2009,Canada,Total container area,Hectares,v52222187,1.4.3,4164.00000000
2010,Canada,Total container area,Hectares,v52222187,1.4.3,3503.00000000
2011,Canada,Total container area,Hectares,v52222187,1.4.3,F
2012,Canada,Total container area,Hectares,v52222187,1.4.3,3450.00000000
2013,Canada,Total container area,Hectares,v52222187,1.4.3,3020.00000000
2014,Canada,Total container area,Hectares,v52222187,1.4.3,2852.00000000
2015,Canada,Total container area,Hectares,v52222187,1.4.3,2880.00000000
2007,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,3.00000000
2008,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,4.00000000
2009,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,5.00000000
2010,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,5.00000000
2011,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,5.00000000
2012,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,10.00000000
2013,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,11.00000000
2014,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,6.00000000
2015,Newfoundland and Labrador,Total nurseries,Number,v52222133,2.1.1,7.00000000
2007,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,0.00000000
2008,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,F
2009,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,70.00000000
2010,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,x
2011,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,x
2012,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,90.00000000
2013,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,55.00000000
2014,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,38.00000000
2015,Newfoundland and Labrador,Total nursery area,Acres,v52222188,2.2.2,x
2007,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,0.00000000
2008,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,F
2009,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,28.00000000
2010,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,x
2011,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,x
2012,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,36.00000000
2013,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,22.00000000
2014,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,15.00000000
2015,Newfoundland and Labrador,Total nursery area,Hectares,v52222199,2.2.3,x
2007,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,40.00000000
2008,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,0.00000000
2009,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,47.00000000
2010,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,x
2011,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,x
2012,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,x
2013,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,40.00000000
2014,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,x
2015,Newfoundland and Labrador,Total field area,Acres,v52222144,2.3.2,x
2007,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,16.00000000
2008,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,0.00000000
2009,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,19.00000000
2010,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,x
2011,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,x
2012,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,x
2013,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,16.00000000
2014,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,x
2015,Newfoundland and Labrador,Total field area,Hectares,v52222155,2.3.3,x
2007,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,0.00000000
2008,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,F
2009,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,23.00000000
2010,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,30.00000000
2011,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,35.00000000
2012,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,x
2013,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,15.00000000
2014,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,x
2015,Newfoundland and Labrador,Total container area,Acres,v52222166,2.4.2,x
2007,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,0.00000000
2008,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,F
2009,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,9.00000000
2010,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,12.00000000
2011,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,14.00000000
2012,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,x
2013,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,6.00000000
2014,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,x
2015,Newfoundland and Labrador,Total container area,Hectares,v52222177,2.4.3,x
2007,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,2.00000000
2008,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,2.00000000
2009,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,3.00000000
2010,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,3.00000000
2011,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,5.00000000
2012,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,10.00000000
2013,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,5.00000000
2014,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,6.00000000
2015,Prince Edward Island,Total nurseries,Number,v52222134,3.1.1,5.00000000
2007,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,0.00000000
2008,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,52.00000000
2009,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,74.00000000
2010,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,x
2011,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,x
2012,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,95.00000000
2013,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,69.00000000
2014,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,66.00000000
2015,Prince Edward Island,Total nursery area,Acres,v52222189,3.2.2,x
2007,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,0.00000000
2008,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,21.00000000
2009,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,30.00000000
2010,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,x
2011,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,x
2012,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,38.00000000
2013,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,28.00000000
2014,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,27.00000000
2015,Prince Edward Island,Total nursery area,Hectares,v52222200,3.2.3,x
2007,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2008,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,26.00000000
2009,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,37.00000000
2010,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2011,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2012,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2013,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,64.00000000
2014,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2015,Prince Edward Island,Total field area,Acres,v52222145,3.3.2,x
2007,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2008,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,11.00000000
2009,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,15.00000000
2010,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2011,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2012,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2013,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,26.00000000
2014,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2015,Prince Edward Island,Total field area,Hectares,v52222156,3.3.3,x
2007,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,0.00000000
2008,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,26.00000000
2009,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,37.00000000
2010,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,x
2011,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,x
2012,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,x
2013,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,5.00000000
2014,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,x
2015,Prince Edward Island,Total container area,Acres,v52222167,3.4.2,x
2007,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,0.00000000
2008,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,11.00000000
2009,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,15.00000000
2010,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,x
2011,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,x
2012,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,x
2013,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,2.00000000
2014,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,x
2015,Prince Edward Island,Total container area,Hectares,v52222178,3.4.3,x
2007,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,20.00000000
2008,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,20.00000000
2009,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,20.00000000
2010,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,20.00000000
2011,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,20.00000000
2012,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,25.00000000
2013,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,25.00000000
2014,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,25.00000000
2015,Nova Scotia,Total nurseries,Number,v52222135,4.1.1,21.00000000
2007,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,0.00000000
2008,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,561.00000000
2009,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,566.00000000
2010,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,615.00000000
2011,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,615.00000000
2012,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,535.00000000
2013,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,443.00000000
2014,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,624.00000000
2015,Nova Scotia,Total nursery area,Acres,v52222190,4.2.2,603.00000000
2007,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,0.00000000
2008,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,227.00000000
2009,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,229.00000000
2010,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,249.00000000
2011,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,249.00000000
2012,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,217.00000000
2013,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,179.00000000
2014,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,253.00000000
2015,Nova Scotia,Total nursery area,Hectares,v52222201,4.2.3,244.00000000
2007,Nova Scotia,Total field area,Acres,v52222146,4.3.2,522.00000000
2008,Nova Scotia,Total field area,Acres,v52222146,4.3.2,F
2009,Nova Scotia,Total field area,Acres,v52222146,4.3.2,F
2010,Nova Scotia,Total field area,Acres,v52222146,4.3.2,555.00000000
2011,Nova Scotia,Total field area,Acres,v52222146,4.3.2,530.00000000
