Ref_Date,GEO,NAICS,TYPEBU,DEV,Vector,Coordinate,Value
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is mainly the business unit or the firm they are part of,v32371214,1.1.1.1,51.0
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is the business unit in co-operation with other firms or organizations,v32371215,1.1.1.2,13.9
2003,Canada,Information and communication technology (ICT) service industries,All business units,Developer is mainly other firm(s) or organization(s),v32371216,1.1.1.3,6.4
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371217,1.1.2.1,65.3
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371218,1.1.2.2,17.8
2003,Canada,Information and communication technology (ICT) service industries,Innovative business units,Developer is mainly other firm(s) or organization(s),v32371219,1.1.2.3,8.1
2003,Canada,Information and communication technology (ICT) service industries,Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371220,1.1.3.1,71.6
2003,Canada,Information and communication technology (ICT) service industries,Product innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371221,1.1.3.2,19.5
2003,Canada,Information and communication technology (ICT) service industries,Product innovative business units,Developer is mainly other firm(s) or organization(s),v32371222,1.1.3.3,8.9
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is mainly the business unit or the firm they are part of,v32371223,1.2.1.1,26.6
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is the business unit in co-operation with other firms or organizations,v32371224,1.2.1.2,11.7
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,All business units,Developer is mainly other firm(s) or organization(s),v32371225,1.2.1.3,17.7
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371226,1.2.2.1,40.9
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371227,1.2.2.2,18.0
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Innovative business units,Developer is mainly other firm(s) or organization(s),v32371228,1.2.2.3,27.1
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371229,1.2.3.1,47.6
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Product innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371230,1.2.3.2,20.9
2003,Canada,Computer and communications equipment and supplier wholesaler-distributors,Product innovative business units,Developer is mainly other firm(s) or organization(s),v32371231,1.2.3.3,31.5
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is mainly the business unit or the firm they are part of,v32371232,1.3.1.1,12.6
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is the business unit in co-operation with other firms or organizations,v32371233,1.3.1.2,32.8
2003,Canada,Office and store machinery and equipment wholesalers-distributors,All business units,Developer is mainly other firm(s) or organization(s),v32371234,1.3.1.3,10.9
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371235,1.3.2.1,20.4
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371236,1.3.2.2,53.1
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Innovative business units,Developer is mainly other firm(s) or organization(s),v32371237,1.3.2.3,17.6
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371238,1.3.3.1,22.4
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Product innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371239,1.3.3.2,58.3
2003,Canada,Office and store machinery and equipment wholesalers-distributors,Product innovative business units,Developer is mainly other firm(s) or organization(s),v32371240,1.3.3.3,19.4
2003,Canada,Software publishers,All business units,Developer is mainly the business unit or the firm they are part of,v32371241,1.4.1.1,78.4
2003,Canada,Software publishers,All business units,Developer is the business unit in co-operation with other firms or organizations,v32371242,1.4.1.2,9.7
2003,Canada,Software publishers,All business units,Developer is mainly other firm(s) or organization(s),v32371243,1.4.1.3,0.0
2003,Canada,Software publishers,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371244,1.4.2.1,83.1
2003,Canada,Software publishers,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371245,1.4.2.2,10.3
2003,Canada,Software publishers,Innovative business units,Developer is mainly other firm(s) or organization(s),v32371246,1.4.2.3,0.0
2003,Canada,Software publishers,Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371247,1.4.3.1,89.0
2003,Canada,Software publishers,Product innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371248,1.4.3.2,11.0
2003,Canada,Software publishers,Product innovative business units,Developer is mainly other firm(s) or organization(s),v32371249,1.4.3.3,0.0
2003,Canada,Wired telecommunications carriers,All business units,Developer is mainly the business unit or the firm they are part of,v32371250,1.5.1.1,46.4
2003,Canada,Wired telecommunications carriers,All business units,Developer is the business unit in co-operation with other firms or organizations,v32371251,1.5.1.2,11.5
2003,Canada,Wired telecommunications carriers,All business units,Developer is mainly other firm(s) or organization(s),v32371252,1.5.1.3,15.0
2003,Canada,Wired telecommunications carriers,Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371253,1.5.2.1,61.4
2003,Canada,Wired telecommunications carriers,Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371254,1.5.2.2,15.2
2003,Canada,Wired telecommunications carriers,Innovative business units,Developer is mainly other firm(s) or organization(s),v32371255,1.5.2.3,19.8
2003,Canada,Wired telecommunications carriers,Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371256,1.5.3.1,63.7
2003,Canada,Wired telecommunications carriers,Product innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371257,1.5.3.2,15.8
2003,Canada,Wired telecommunications carriers,Product innovative business units,Developer is mainly other firm(s) or organization(s),v32371258,1.5.3.3,20.6
2003,Canada,Wireless telecommunications carriers (except satellite),All business units,Developer is mainly the business unit or the firm they are part of,v32371259,1.6.1.1,25.9
2003,Canada,Wireless telecommunications carriers (except satellite),All business units,Developer is the business unit in co-operation with other firms or organizations,v32371260,1.6.1.2,22.9
2003,Canada,Wireless telecommunications carriers (except satellite),All business units,Developer is mainly other firm(s) or organization(s),v32371261,1.6.1.3,5.6
2003,Canada,Wireless telecommunications carriers (except satellite),Innovative business units,Developer is mainly the business unit or the firm they are part of,v32371262,1.6.2.1,43.2
2003,Canada,Wireless telecommunications carriers (except satellite),Innovative business units,Developer is the business unit in co-operation with other firms or organizations,v32371263,1.6.2.2,38.2
2003,Canada,Wireless telecommunications carriers (except satellite),Innovative business units,Developer is mainly other firm(s) or organization(s),v32371264,1.6.2.3,9.3
2003,Canada,Wireless telecommunications carriers (except satellite),Product innovative business units,Developer is mainly the business unit or the firm they are part of,v32371265,1.6.3.1,47.7
