Ref_Date,GEO,HARVEST,POTATO,Vector,Coordinate,Value
2010,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,9.22
2011,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,9.41
2012,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,8.69
2013,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,10.37
2014,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,10.39
2015,United States,Total yearly harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902081,1.1.6,..
2006,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3358442.00
2007,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3143311.00
2008,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,4030416.00
2009,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3504075.00
2010,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3458921.00
2011,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3747225.00
2012,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,3739490.00
2013,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,4192327.00
2014,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,4273221.00
2015,United States,Total yearly harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902082,1.1.7,..
2006,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,17700.00
2007,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,10500.00
2008,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,11000.00
2009,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,9000.00
2010,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2011,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2012,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2013,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2014,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2015,United States,Winter harvest,"Seeded area, potatoes (acres)",v41902083,1.2.1,..
2006,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,17500.00
2007,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,10500.00
2008,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,11000.00
2009,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,8700.00
2010,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2011,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2012,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2013,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2014,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2015,United States,Winter harvest,"Harvested area, potatoes (acres)",v41902084,1.2.2,..
2006,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,257.00
2007,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,215.00
2008,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,230.00
2009,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,245.00
2010,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2011,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2012,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2013,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2014,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2015,United States,Winter harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902085,1.2.3,..
2006,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,4495000.00
2007,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,2258000.00
2008,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,2530000.00
2009,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,2132000.00
2010,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2011,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2012,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2013,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2014,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2015,United States,Winter harvest,"Production, potatoes (hundredweight)",v41902086,1.2.4,..
2006,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,4392000.00
2007,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,2171000.00
2008,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,2475000.00
2009,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,2089000.00
2010,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2011,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2012,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2013,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2014,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2015,United States,Winter harvest,"Amount utilized, potatoes (hundredweight)",v41902087,1.2.5,..
2006,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,28.81
2007,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,21.27
2008,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,20.05
2009,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,22.30
2010,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2011,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2012,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2013,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2014,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2015,United States,Winter harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902088,1.2.6,..
2006,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,125650.00
2007,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,47960.00
2008,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,49631.00
2009,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,46854.00
2010,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2011,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2012,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2013,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2014,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2015,United States,Winter harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902089,1.2.7,..
2006,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,70700.00
2007,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,72800.00
2008,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,70300.00
2009,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,79200.00
2010,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,89300.00
2011,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,93300.00
2012,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,96900.00
2013,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,75900.00
2014,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,73800.00
2015,United States,Spring harvest,"Seeded area, potatoes (acres)",v41902090,1.3.1,67000.00
2006,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,67500.00
2007,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,70200.00
2008,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,68800.00
2009,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,73700.00
2010,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,85800.00
2011,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,91500.00
2012,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,94600.00
2013,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,72900.00
2014,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,71100.00
2015,United States,Spring harvest,"Harvested area, potatoes (acres)",v41902091,1.3.2,66000.00
2006,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,293.00
2007,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,282.00
2008,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,293.00
2009,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,289.00
2010,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,289.00
