Ref_Date,GEO,SALES,Vector,Coordinate,Value
2007,Canada,Total sales,v52222374,1.1,644808072.000
2008,Canada,Total sales,v52222374,1.1,701405365.000
2009,Canada,Total sales,v52222374,1.1,704801563.000
2010,Canada,Total sales,v52222374,1.1,718273171.000
2011,Canada,Total sales,v52222374,1.1,707652140.000
2012,Canada,Total sales,v52222374,1.1,692413079.000
2013,Canada,Total sales,v52222374,1.1,680417284.000
2014,Canada,Total sales,v52222374,1.1,688336376.000
2015,Canada,Total sales,v52222374,1.1,712641261.000
2007,Canada,Sales,v52222352,1.2,488434842.000
2008,Canada,Sales,v52222352,1.2,559535945.000
2009,Canada,Sales,v52222352,1.2,550809848.000
2010,Canada,Sales,v52222352,1.2,585478101.000
2011,Canada,Sales,v52222352,1.2,590679400.000
2012,Canada,Sales,v52222352,1.2,568272094.000
2013,Canada,Sales,v52222352,1.2,550307305.000
2014,Canada,Sales,v52222352,1.2,555056673.000
2015,Canada,Sales,v52222352,1.2,578176225.000
2007,Canada,Resales,v52222363,1.3,156373230.000
2008,Canada,Resales,v52222363,1.3,141869420.000
2009,Canada,Resales,v52222363,1.3,153991715.000
2010,Canada,Resales,v52222363,1.3,132795070.000
2011,Canada,Resales,v52222363,1.3,116972740.000
2012,Canada,Resales,v52222363,1.3,124140985.000
2013,Canada,Resales,v52222363,1.3,130109979.000
2014,Canada,Resales,v52222363,1.3,133279703.000
2015,Canada,Resales,v52222363,1.3,134465038.000
2007,Newfoundland and Labrador,Total sales,v52222364,2.1,F
2008,Newfoundland and Labrador,Total sales,v52222364,2.1,F
2009,Newfoundland and Labrador,Total sales,v52222364,2.1,F
2010,Newfoundland and Labrador,Total sales,v52222364,2.1,x
2011,Newfoundland and Labrador,Total sales,v52222364,2.1,811365.000
2012,Newfoundland and Labrador,Total sales,v52222364,2.1,737850.000
2013,Newfoundland and Labrador,Total sales,v52222364,2.1,684752.000
2014,Newfoundland and Labrador,Total sales,v52222364,2.1,555538.000
2015,Newfoundland and Labrador,Total sales,v52222364,2.1,x
2007,Newfoundland and Labrador,Sales,v52222342,2.2,x
2008,Newfoundland and Labrador,Sales,v52222342,2.2,F
2009,Newfoundland and Labrador,Sales,v52222342,2.2,x
2010,Newfoundland and Labrador,Sales,v52222342,2.2,508093.000
2011,Newfoundland and Labrador,Sales,v52222342,2.2,247630.000
2012,Newfoundland and Labrador,Sales,v52222342,2.2,249540.000
2013,Newfoundland and Labrador,Sales,v52222342,2.2,x
2014,Newfoundland and Labrador,Sales,v52222342,2.2,x
2015,Newfoundland and Labrador,Sales,v52222342,2.2,x
2007,Newfoundland and Labrador,Resales,v52222353,2.3,x
2008,Newfoundland and Labrador,Resales,v52222353,2.3,x
2009,Newfoundland and Labrador,Resales,v52222353,2.3,F
2010,Newfoundland and Labrador,Resales,v52222353,2.3,x
2011,Newfoundland and Labrador,Resales,v52222353,2.3,563735.000
2012,Newfoundland and Labrador,Resales,v52222353,2.3,488310.000
2013,Newfoundland and Labrador,Resales,v52222353,2.3,x
2014,Newfoundland and Labrador,Resales,v52222353,2.3,x
2015,Newfoundland and Labrador,Resales,v52222353,2.3,x
2007,Prince Edward Island,Total sales,v52222365,3.1,x
2008,Prince Edward Island,Total sales,v52222365,3.1,0.000
2009,Prince Edward Island,Total sales,v52222365,3.1,F
2010,Prince Edward Island,Total sales,v52222365,3.1,x
2011,Prince Edward Island,Total sales,v52222365,3.1,x
2012,Prince Edward Island,Total sales,v52222365,3.1,x
2013,Prince Edward Island,Total sales,v52222365,3.1,805679.000
2014,Prince Edward Island,Total sales,v52222365,3.1,634146.000
2015,Prince Edward Island,Total sales,v52222365,3.1,x
