Ref_Date,GEO,SALES,Vector,Coordinate,Value
2007,Prince Edward Island,Sales,v52222343,3.2,x
2008,Prince Edward Island,Sales,v52222343,3.2,0.000
2009,Prince Edward Island,Sales,v52222343,3.2,x
2010,Prince Edward Island,Sales,v52222343,3.2,0.000
2011,Prince Edward Island,Sales,v52222343,3.2,x
2012,Prince Edward Island,Sales,v52222343,3.2,x
2013,Prince Edward Island,Sales,v52222343,3.2,x
2014,Prince Edward Island,Sales,v52222343,3.2,x
2015,Prince Edward Island,Sales,v52222343,3.2,x
2007,Prince Edward Island,Resales,v52222354,3.3,x
2008,Prince Edward Island,Resales,v52222354,3.3,0.000
2009,Prince Edward Island,Resales,v52222354,3.3,x
2010,Prince Edward Island,Resales,v52222354,3.3,x
2011,Prince Edward Island,Resales,v52222354,3.3,x
2012,Prince Edward Island,Resales,v52222354,3.3,x
2013,Prince Edward Island,Resales,v52222354,3.3,x
2014,Prince Edward Island,Resales,v52222354,3.3,x
2015,Prince Edward Island,Resales,v52222354,3.3,x
2007,Nova Scotia,Total sales,v52222366,4.1,8816400.000
2008,Nova Scotia,Total sales,v52222366,4.1,F
2009,Nova Scotia,Total sales,v52222366,4.1,11696137.000
2010,Nova Scotia,Total sales,v52222366,4.1,13857969.000
2011,Nova Scotia,Total sales,v52222366,4.1,14631805.000
2012,Nova Scotia,Total sales,v52222366,4.1,14364250.000
2013,Nova Scotia,Total sales,v52222366,4.1,12432898.000
2014,Nova Scotia,Total sales,v52222366,4.1,10562349.000
2015,Nova Scotia,Total sales,v52222366,4.1,8962893.000
2007,Nova Scotia,Sales,v52222344,4.2,6716400.000
2008,Nova Scotia,Sales,v52222344,4.2,6097549.000
2009,Nova Scotia,Sales,v52222344,4.2,F
2010,Nova Scotia,Sales,v52222344,4.2,12629214.000
2011,Nova Scotia,Sales,v52222344,4.2,13019580.000
2012,Nova Scotia,Sales,v52222344,4.2,12638750.000
2013,Nova Scotia,Sales,v52222344,4.2,9950300.000
2014,Nova Scotia,Sales,v52222344,4.2,8509939.000
2015,Nova Scotia,Sales,v52222344,4.2,7765372.000
2007,Nova Scotia,Resales,v52222355,4.3,F
2008,Nova Scotia,Resales,v52222355,4.3,F
2009,Nova Scotia,Resales,v52222355,4.3,F
2010,Nova Scotia,Resales,v52222355,4.3,1228755.000
2011,Nova Scotia,Resales,v52222355,4.3,1612225.000
2012,Nova Scotia,Resales,v52222355,4.3,1725500.000
2013,Nova Scotia,Resales,v52222355,4.3,2482598.000
2014,Nova Scotia,Resales,v52222355,4.3,2052410.000
2015,Nova Scotia,Resales,v52222355,4.3,1197522.000
2007,New Brunswick,Total sales,v52222367,5.1,F
2008,New Brunswick,Total sales,v52222367,5.1,6455150.000
2009,New Brunswick,Total sales,v52222367,5.1,F
2010,New Brunswick,Total sales,v52222367,5.1,4469851.000
2011,New Brunswick,Total sales,v52222367,5.1,x
2012,New Brunswick,Total sales,v52222367,5.1,x
2013,New Brunswick,Total sales,v52222367,5.1,4092743.000
2014,New Brunswick,Total sales,v52222367,5.1,4133941.000
2015,New Brunswick,Total sales,v52222367,5.1,4368218.000
2007,New Brunswick,Sales,v52222345,5.2,F
2008,New Brunswick,Sales,v52222345,5.2,5620650.000
2009,New Brunswick,Sales,v52222345,5.2,x
2010,New Brunswick,Sales,v52222345,5.2,F
2011,New Brunswick,Sales,v52222345,5.2,x
2012,New Brunswick,Sales,v52222345,5.2,x
2013,New Brunswick,Sales,v52222345,5.2,2762743.000
2014,New Brunswick,Sales,v52222345,5.2,3116388.000
2015,New Brunswick,Sales,v52222345,5.2,3334842.000
2007,New Brunswick,Resales,v52222356,5.3,832000.000
2008,New Brunswick,Resales,v52222356,5.3,F
2009,New Brunswick,Resales,v52222356,5.3,x
2010,New Brunswick,Resales,v52222356,5.3,1016280.000
2011,New Brunswick,Resales,v52222356,5.3,x
2012,New Brunswick,Resales,v52222356,5.3,x
2013,New Brunswick,Resales,v52222356,5.3,1330000.000
2014,New Brunswick,Resales,v52222356,5.3,F
2015,New Brunswick,Resales,v52222356,5.3,1033376.000
2007,Quebec,Total sales,v52222368,6.1,92428617.000
2008,Quebec,Total sales,v52222368,6.1,117424943.000
2009,Quebec,Total sales,v52222368,6.1,109329674.000
2010,Quebec,Total sales,v52222368,6.1,102510293.000
2011,Quebec,Total sales,v52222368,6.1,97297995.000
2012,Quebec,Total sales,v52222368,6.1,94823305.000
2013,Quebec,Total sales,v52222368,6.1,96527142.000
2014,Quebec,Total sales,v52222368,6.1,97803986.000
2015,Quebec,Total sales,v52222368,6.1,100904755.000
2007,Quebec,Sales,v52222346,6.2,69667117.000
2008,Quebec,Sales,v52222346,6.2,101653863.000
2009,Quebec,Sales,v52222346,6.2,95110094.000
2010,Quebec,Sales,v52222346,6.2,88265803.000
2011,Quebec,Sales,v52222346,6.2,81911250.000
2012,Quebec,Sales,v52222346,6.2,78188605.000
2013,Quebec,Sales,v52222346,6.2,79035203.000
2014,Quebec,Sales,v52222346,6.2,81823775.000
2015,Quebec,Sales,v52222346,6.2,85954029.000
2007,Quebec,Resales,v52222357,6.3,22761500.000
2008,Quebec,Resales,v52222357,6.3,F
2009,Quebec,Resales,v52222357,6.3,14219580.000
2010,Quebec,Resales,v52222357,6.3,14244490.000
2011,Quebec,Resales,v52222357,6.3,15386745.000
2012,Quebec,Resales,v52222357,6.3,16634700.000
2013,Quebec,Resales,v52222357,6.3,17491939.000
2014,Quebec,Resales,v52222357,6.3,15980211.000
2015,Quebec,Resales,v52222357,6.3,14950726.000
2007,Ontario,Total sales,v52222369,7.1,271326026.000
2008,Ontario,Total sales,v52222369,7.1,288776267.000
2009,Ontario,Total sales,v52222369,7.1,284932287.000
2010,Ontario,Total sales,v52222369,7.1,289176394.000
2011,Ontario,Total sales,v52222369,7.1,297042965.000
2012,Ontario,Total sales,v52222369,7.1,284266215.000
2013,Ontario,Total sales,v52222369,7.1,281281614.000
2014,Ontario,Total sales,v52222369,7.1,290949293.000
2015,Ontario,Total sales,v52222369,7.1,294412234.000
2007,Ontario,Sales,v52222347,7.2,195326026.000
2008,Ontario,Sales,v52222347,7.2,223776267.000
2009,Ontario,Sales,v52222347,7.2,210129187.000
2010,Ontario,Sales,v52222347,7.2,219257674.000
2011,Ontario,Sales,v52222347,7.2,242437215.000
2012,Ontario,Sales,v52222347,7.2,223524880.000
2013,Ontario,Sales,v52222347,7.2,213722696.000
2014,Ontario,Sales,v52222347,7.2,219547943.000
2015,Ontario,Sales,v52222347,7.2,222139171.000
2007,Ontario,Resales,v52222358,7.3,76000000.000
2008,Ontario,Resales,v52222358,7.3,65000000.000
2009,Ontario,Resales,v52222358,7.3,74803100.000
2010,Ontario,Resales,v52222358,7.3,69918720.000
2011,Ontario,Resales,v52222358,7.3,54605750.000
2012,Ontario,Resales,v52222358,7.3,60741335.000
2013,Ontario,Resales,v52222358,7.3,67558918.000
2014,Ontario,Resales,v52222358,7.3,71401350.000
2015,Ontario,Resales,v52222358,7.3,72273063.000
2007,Manitoba,Total sales,v52222370,8.1,11889633.000
2008,Manitoba,Total sales,v52222370,8.1,21452547.000
2009,Manitoba,Total sales,v52222370,8.1,22095518.000
2010,Manitoba,Total sales,v52222370,8.1,24625268.000
2011,Manitoba,Total sales,v52222370,8.1,23043800.000
2012,Manitoba,Total sales,v52222370,8.1,18574177.000
2013,Manitoba,Total sales,v52222370,8.1,15612948.000
2014,Manitoba,Total sales,v52222370,8.1,13804153.000
2015,Manitoba,Total sales,v52222370,8.1,13757664.000
2007,Manitoba,Sales,v52222348,8.2,8889633.000
2008,Manitoba,Sales,v52222348,8.2,x
2009,Manitoba,Sales,v52222348,8.2,19732868.000
2010,Manitoba,Sales,v52222348,8.2,22078068.000
2011,Manitoba,Sales,v52222348,8.2,20590855.000
2012,Manitoba,Sales,v52222348,8.2,14945832.000
2013,Manitoba,Sales,v52222348,8.2,12636782.000
2014,Manitoba,Sales,v52222348,8.2,11825921.000
2015,Manitoba,Sales,v52222348,8.2,11156877.000
2007,Manitoba,Resales,v52222359,8.3,3000000.000
2008,Manitoba,Resales,v52222359,8.3,x
2009,Manitoba,Resales,v52222359,8.3,2362650.000
2010,Manitoba,Resales,v52222359,8.3,2547200.000
2011,Manitoba,Resales,v52222359,8.3,2452945.000
2012,Manitoba,Resales,v52222359,8.3,3628345.000
2013,Manitoba,Resales,v52222359,8.3,2976166.000
2014,Manitoba,Resales,v52222359,8.3,1978232.000
2015,Manitoba,Resales,v52222359,8.3,2600787.000
2007,Saskatchewan,Total sales,v52222371,9.1,6249000.000
2008,Saskatchewan,Total sales,v52222371,9.1,6470065.000
2009,Saskatchewan,Total sales,v52222371,9.1,7219847.000
2010,Saskatchewan,Total sales,v52222371,9.1,11161936.000
2011,Saskatchewan,Total sales,v52222371,9.1,10109465.000
2012,Saskatchewan,Total sales,v52222371,9.1,9081740.000
2013,Saskatchewan,Total sales,v52222371,9.1,8134803.000
2014,Saskatchewan,Total sales,v52222371,9.1,6823153.000
2015,Saskatchewan,Total sales,v52222371,9.1,8169433.000
2007,Saskatchewan,Sales,v52222349,9.2,3727000.000
2008,Saskatchewan,Sales,v52222349,9.2,5456065.000
2009,Saskatchewan,Sales,v52222349,9.2,5346947.000
2010,Saskatchewan,Sales,v52222349,9.2,9274501.000
2011,Saskatchewan,Sales,v52222349,9.2,8614115.000
2012,Saskatchewan,Sales,v52222349,9.2,7609760.000
2013,Saskatchewan,Sales,v52222349,9.2,5967151.000
2014,Saskatchewan,Sales,v52222349,9.2,4993837.000
2015,Saskatchewan,Sales,v52222349,9.2,5822440.000
2007,Saskatchewan,Resales,v52222360,9.3,2522000.000
2008,Saskatchewan,Resales,v52222360,9.3,1014000.000
2009,Saskatchewan,Resales,v52222360,9.3,1872900.000
2010,Saskatchewan,Resales,v52222360,9.3,1887435.000
2011,Saskatchewan,Resales,v52222360,9.3,1495350.000
2012,Saskatchewan,Resales,v52222360,9.3,1471980.000
2013,Saskatchewan,Resales,v52222360,9.3,2167652.000
2014,Saskatchewan,Resales,v52222360,9.3,1829316.000
2015,Saskatchewan,Resales,v52222360,9.3,2346993.000
2007,Alberta,Total sales,v52222372,10.1,53213913.000
2008,Alberta,Total sales,v52222372,10.1,46643268.000
2009,Alberta,Total sales,v52222372,10.1,42770140.000
2010,Alberta,Total sales,v52222372,10.1,46309021.000
2011,Alberta,Total sales,v52222372,10.1,51887880.000
2012,Alberta,Total sales,v52222372,10.1,48396560.000
2013,Alberta,Total sales,v52222372,10.1,42944178.000
2014,Alberta,Total sales,v52222372,10.1,48018982.000
2015,Alberta,Total sales,v52222372,10.1,52356050.000
2007,Alberta,Sales,v52222350,10.2,38413913.000
2008,Alberta,Sales,v52222350,10.2,30159268.000
2009,Alberta,Sales,v52222350,10.2,27840050.000
2010,Alberta,Sales,v52222350,10.2,37365021.000
2011,Alberta,Sales,v52222350,10.2,39786830.000
2012,Alberta,Sales,v52222350,10.2,40228735.000
2013,Alberta,Sales,v52222350,10.2,35333367.000
2014,Alberta,Sales,v52222350,10.2,40684027.000
2015,Alberta,Sales,v52222350,10.2,41822103.000
2007,Alberta,Resales,v52222361,10.3,14800000.000
2008,Alberta,Resales,v52222361,10.3,16484000.000
2009,Alberta,Resales,v52222361,10.3,14930090.000
2010,Alberta,Resales,v52222361,10.3,8944000.000
2011,Alberta,Resales,v52222361,10.3,12101050.000
2012,Alberta,Resales,v52222361,10.3,8167825.000
2013,Alberta,Resales,v52222361,10.3,7610811.000
2014,Alberta,Resales,v52222361,10.3,7334955.000
2015,Alberta,Resales,v52222361,10.3,10533947.000
2007,British Columbia,Total sales,v52222373,11.1,195141315.000
2008,British Columbia,Total sales,v52222373,11.1,205485436.000
2009,British Columbia,Total sales,v52222373,11.1,220865560.000
2010,British Columbia,Total sales,v52222373,11.1,225431016.000
2011,British Columbia,Total sales,v52222373,11.1,209397435.000
2012,British Columbia,Total sales,v52222373,11.1,218280527.000
2013,British Columbia,Total sales,v52222373,11.1,217900527.000
2014,British Columbia,Total sales,v52222373,11.1,215050835.000
2015,British Columbia,Total sales,v52222373,11.1,228536479.000
2007,British Columbia,Sales,v52222351,11.2,160841315.000
2008,British Columbia,Sales,v52222351,11.2,166694036.000
2009,British Columbia,Sales,v52222351,11.2,177545495.000
2010,British Columbia,Sales,v52222351,11.2,192646156.000
2011,British Columbia,Sales,v52222351,11.2,181330250.000
2012,British Columbia,Sales,v52222351,11.2,187874482.000
2013,British Columbia,Sales,v52222351,11.2,189789116.000
2014,British Columbia,Sales,v52222351,11.2,183685205.000
2015,British Columbia,Sales,v52222351,11.2,199338821.000
2007,British Columbia,Resales,v52222362,11.3,34300000.000
2008,British Columbia,Resales,v52222362,11.3,38791400.000
2009,British Columbia,Resales,v52222362,11.3,43320065.000
2010,British Columbia,Resales,v52222362,11.3,32784860.000
2011,British Columbia,Resales,v52222362,11.3,28067185.000
2012,British Columbia,Resales,v52222362,11.3,30406045.000
2013,British Columbia,Resales,v52222362,11.3,28111411.000
2014,British Columbia,Resales,v52222362,11.3,31365630.000
2015,British Columbia,Resales,v52222362,11.3,29197658.000
