Ref_Date,GEO,NAICS,SUMMARY,Vector,Coordinate,Value
2013,New Brunswick,Motion picture and video distribution,Operating profit margin (percent),v96730227,5.1.4,x
2013,Quebec,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730228,6.1.1,188.2
2013,Quebec,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730229,6.1.2,178.5
2013,Quebec,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730230,6.1.3,14.0
2013,Quebec,Motion picture and video distribution,Operating profit margin (percent),v96730231,6.1.4,5.2
2013,Ontario,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730232,7.1.1,1620.8
2013,Ontario,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730233,7.1.2,1287.0
2013,Ontario,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730234,7.1.3,77.3
2013,Ontario,Motion picture and video distribution,Operating profit margin (percent),v96730235,7.1.4,20.6
2013,Manitoba,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730236,8.1.1,x
2013,Manitoba,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730237,8.1.2,0.9
2013,Manitoba,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730238,8.1.3,x
2013,Manitoba,Motion picture and video distribution,Operating profit margin (percent),v96730239,8.1.4,x
2013,Saskatchewan,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730240,9.1.1,x
2013,Saskatchewan,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730241,9.1.2,0.0
2013,Saskatchewan,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730242,9.1.3,0.0
2013,Saskatchewan,Motion picture and video distribution,Operating profit margin (percent),v96730243,9.1.4,x
2013,Alberta,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730244,10.1.1,1.8
2013,Alberta,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730245,10.1.2,1.7
2013,Alberta,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730246,10.1.3,x
2013,Alberta,Motion picture and video distribution,Operating profit margin (percent),v96730247,10.1.4,5.8
2013,British Columbia,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730248,11.1.1,29.5
2013,British Columbia,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730249,11.1.2,31.9
2013,British Columbia,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730250,11.1.3,4.8
2013,British Columbia,Motion picture and video distribution,Operating profit margin (percent),v96730251,11.1.4,-7.9
2013,Yukon,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v97863912,12.1.1,..
2013,Yukon,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v97863913,12.1.2,..
2013,Yukon,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v97863914,12.1.3,..
2013,Yukon,Motion picture and video distribution,Operating profit margin (percent),v97863915,12.1.4,..
2013,Northwest Territories,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v97863916,13.1.1,..
2013,Northwest Territories,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v97863917,13.1.2,..
2013,Northwest Territories,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v97863918,13.1.3,..
2013,Northwest Territories,Motion picture and video distribution,Operating profit margin (percent),v97863919,13.1.4,..
2013,Nunavut,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v97863920,14.1.1,..
2013,Nunavut,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v97863921,14.1.2,..
2013,Nunavut,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v97863922,14.1.3,..
2013,Nunavut,Motion picture and video distribution,Operating profit margin (percent),v97863923,14.1.4,..
