Ref_Date,GEO,NAICS,SUMMARY,Vector,Coordinate,Value
2013,Canada,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730208,1.1.1,1843.0
2013,Canada,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730209,1.1.2,1500.5
2013,Canada,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730210,1.1.3,97.3
2013,Canada,Motion picture and video distribution,Operating profit margin (percent),v96730211,1.1.4,18.6
2013,Newfoundland and Labrador,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730212,2.1.1,x
2013,Newfoundland and Labrador,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730213,2.1.2,x
2013,Newfoundland and Labrador,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730214,2.1.3,x
2013,Newfoundland and Labrador,Motion picture and video distribution,Operating profit margin (percent),v96730215,2.1.4,x
2013,Prince Edward Island,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730216,3.1.1,x
2013,Prince Edward Island,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730217,3.1.2,x
2013,Prince Edward Island,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730218,3.1.3,0.0
2013,Prince Edward Island,Motion picture and video distribution,Operating profit margin (percent),v96730219,3.1.4,x
2013,Nova Scotia,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730220,4.1.1,x
2013,Nova Scotia,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730221,4.1.2,0.2
2013,Nova Scotia,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730222,4.1.3,x
2013,Nova Scotia,Motion picture and video distribution,Operating profit margin (percent),v96730223,4.1.4,x
2013,New Brunswick,Motion picture and video distribution,"Operating revenue (x 1,000,000)",v96730224,5.1.1,x
2013,New Brunswick,Motion picture and video distribution,"Operating expenses (x 1,000,000)",v96730225,5.1.2,x
2013,New Brunswick,Motion picture and video distribution,"Salaries, wages, commissions and benefits (x 1,000,000)",v96730226,5.1.3,x
