Ref_Date,GEO,EST,Vector,Coordinate,Value
1851,Canada,Population,v742020,1.1,2436297.00
1861,Canada,Population,v742020,1.1,3229633.00
1871,Canada,Population,v742020,1.1,3689257.00
1881,Canada,Population,v742020,1.1,4324810.00
1891,Canada,Population,v742020,1.1,4833239.00
1901,Canada,Population,v742020,1.1,5371315.00
1911,Canada,Population,v742020,1.1,7206643.00
1921,Canada,Population,v742020,1.1,8787949.00
1931,Canada,Population,v742020,1.1,10376786.00
1941,Canada,Population,v742020,1.1,11506655.00
1951,Canada,Population,v742020,1.1,14009429.00
1961,Canada,Population,v742020,1.1,18238247.00
1971,Canada,Population,v742020,1.1,21568311.00
1871,Canada,Population density per square mile,v742071,1.2,1.06
1881,Canada,Population density per square mile,v742071,1.2,1.25
1891,Canada,Population density per square mile,v742071,1.2,1.39
1901,Canada,Population density per square mile,v742071,1.2,1.55
1911,Canada,Population density per square mile,v742071,1.2,2.08
1921,Canada,Population density per square mile,v742071,1.2,2.53
1931,Canada,Population density per square mile,v742071,1.2,2.99
1941,Canada,Population density per square mile,v742071,1.2,3.32
1951,Canada,Population density per square mile,v742071,1.2,3.88
1961,Canada,Population density per square mile,v742071,1.2,5.12
1971,Canada,Population density per square mile,v742071,1.2,6.06
1951,Newfoundland and Labrador,Population,v742021,2.1,361416.00
1961,Newfoundland and Labrador,Population,v742021,2.1,457853.00
1971,Newfoundland and Labrador,Population,v742021,2.1,522104.00
1951,Newfoundland and Labrador,Population density per square mile,v742072,2.2,2.44
1961,Newfoundland and Labrador,Population density per square mile,v742072,2.2,3.20
1971,Newfoundland and Labrador,Population density per square mile,v742072,2.2,3.64
1851,Prince Edward Island,Population,v742025,3.1,62678.00
1861,Prince Edward Island,Population,v742025,3.1,80857.00
1871,Prince Edward Island,Population,v742025,3.1,94021.00
1881,Prince Edward Island,Population,v742025,3.1,108891.00
1891,Prince Edward Island,Population,v742025,3.1,109078.00
1901,Prince Edward Island,Population,v742025,3.1,103259.00
1911,Prince Edward Island,Population,v742025,3.1,93728.00
1921,Prince Edward Island,Population,v742025,3.1,88615.00
1931,Prince Edward Island,Population,v742025,3.1,88038.00
1941,Prince Edward Island,Population,v742025,3.1,95047.00
1951,Prince Edward Island,Population,v742025,3.1,98429.00
1961,Prince Edward Island,Population,v742025,3.1,104629.00
