Ref_Date,GEO,NAICS,SALES,Vector,Coordinate,Value
2014,Canada,Newspaper publishers,"Total advertising sales (x 1,000,000)",v106814486,1.1.1,2440.4
2014,Canada,Newspaper publishers,"Daily newspapers advertising sales (x 1,000,000)",v106814487,1.1.2,1673.7
2014,Canada,Newspaper publishers,"Community and other newspapers  advertising sales (x 1,000,000)",v106814488,1.1.3,766.7
2014,Canada,Newspaper publishers,"Total circulation sales (x 1,000,000)",v106814489,1.1.4,763.0
2014,Canada,Newspaper publishers,"Daily newspapers circulation sales (x 1,000,000)",v106814490,1.1.5,737.9
2014,Canada,Newspaper publishers,"Community and other newspapers circulation sales (x 1,000,000)",v106814491,1.1.6,25.1
