Ref_Date,GEO,Geographical classification,SALES,ADJUSTMENT,Vector,Coordinate,Value
1995/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1176277
1995/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1536861
1995/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2180058
1996/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,762857
1996/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,804443
1996/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,973739
1996/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1056567
1996/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1157534
1996/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1147332
1996/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1019487
1996/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1199652
1996/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1126079
1996/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1265400
1996/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1665810
1996/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2267930
1997/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,821164
1997/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,837186
1997/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1074407
1997/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1154208
1997/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1291636
1997/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1253570
1997/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1146250
1997/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1336324
1997/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1267912
1997/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1427217
1997/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1790141
1997/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2529327
1998/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,922001
1998/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,947062
1998/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1175997
1998/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1333749
1998/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1367620
1998/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1263729
1998/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1234089
1998/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1346105
1998/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1340188
1998/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1494769
1998/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1803985
1998/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2648980
1999/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,990098
1999/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,988693
1999/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1215521
1999/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1339905
1999/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1459853
1999/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1410733
1999/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1383221
1999/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1511606
1999/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1512210
1999/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1625423
1999/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1814749
1999/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2696792
2000/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1011355
2000/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1032831
2000/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1252197
2000/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1392555
2000/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1444503
2000/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1474380
2000/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1396258
2000/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1476765
2000/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1455518
2000/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1580924
2000/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1922080
2000/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2875337
2001/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1103321
2001/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1103483
2001/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1374596
2001/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1486143
2001/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1585289
2001/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1610358
2001/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1501611
2001/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1631024
2001/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1502969
2001/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1731059
2001/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2056196
2001/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,3079372
2002/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1232191
2002/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1201590
2002/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1489583
2002/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1591039
2002/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1685583
2002/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1745124
2002/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1627459
2002/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1730216
2002/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1551314
2002/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1830147
2002/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2195092
2002/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,3080540
2003/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1281174
2003/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1249236
2003/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1493271
2003/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1618230
2003/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1807921
2003/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1763942
2003/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1677751
2003/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1805326
