Ref_Date,GEO,NAICS,INDPROF,Vector,Coordinate,Value
2013,Canada,"Film, television and video post-production","Total sales (x 1,000,000)",v97863820,1.1.1,716.2
2015,Canada,"Film, television and video post-production","Total sales (x 1,000,000)",v97863820,1.1.1,879.9
2013,Canada,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863821,1.1.2,x
2015,Canada,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863821,1.1.2,83.3
2013,Canada,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863822,1.1.3,70.5
2015,Canada,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863822,1.1.3,67.2
2013,Canada,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863823,1.1.4,x
2015,Canada,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863823,1.1.4,x
2013,Canada,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863824,1.1.5,8.6
2015,Canada,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863824,1.1.5,9.9
2013,Canada,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863825,1.1.6,323.4
2015,Canada,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863825,1.1.6,435.3
2013,Canada,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863826,1.1.7,77.8
2015,Canada,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863826,1.1.7,95.8
2013,Canada,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863827,1.1.8,22.1
2015,Canada,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863827,1.1.8,22.4
2013,Canada,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863828,1.1.9,x
2015,Canada,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863828,1.1.9,x
2013,Canada,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863829,1.1.10,7.0
2015,Canada,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863829,1.1.10,8.1
2013,Canada,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863830,1.1.11,x
2015,Canada,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863830,1.1.11,x
2013,Canada,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863831,1.1.12,36.2
2015,Canada,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863831,1.1.12,47.0
2013,Canada,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863832,1.1.13,10.4
2015,Canada,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863832,1.1.13,11.5
2013,Canada,"Film, television and video post-production","Other sales (x 1,000,000)",v97863833,1.1.14,47.9
2015,Canada,"Film, television and video post-production","Other sales (x 1,000,000)",v97863833,1.1.14,55.9
2013,Atlantic provinces,"Film, television and video post-production","Total sales (x 1,000,000)",v97863834,2.1.1,3.9
2015,Atlantic provinces,"Film, television and video post-production","Total sales (x 1,000,000)",v97863834,2.1.1,2.8
2013,Atlantic provinces,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863835,2.1.2,x
2015,Atlantic provinces,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863835,2.1.2,x
2013,Atlantic provinces,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863836,2.1.3,1.2
2015,Atlantic provinces,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863836,2.1.3,0.9
2013,Atlantic provinces,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863837,2.1.4,x
2015,Atlantic provinces,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863837,2.1.4,x
2013,Atlantic provinces,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863838,2.1.5,x
2015,Atlantic provinces,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863838,2.1.5,x
2013,Atlantic provinces,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863839,2.1.6,x
2015,Atlantic provinces,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863839,2.1.6,x
