Ref_Date,GEO,NAICS,INDPROF,Vector,Coordinate,Value
2013,Atlantic provinces,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863840,2.1.7,0.0
2015,Atlantic provinces,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863840,2.1.7,0.0
2013,Atlantic provinces,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863841,2.1.8,0.1
2015,Atlantic provinces,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863841,2.1.8,x
2013,Atlantic provinces,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863842,2.1.9,x
2015,Atlantic provinces,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863842,2.1.9,x
2013,Atlantic provinces,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863843,2.1.10,0.0
2015,Atlantic provinces,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863843,2.1.10,0.0
2013,Atlantic provinces,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863844,2.1.11,x
2015,Atlantic provinces,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863844,2.1.11,x
2013,Atlantic provinces,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863845,2.1.12,x
2015,Atlantic provinces,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863845,2.1.12,x
2013,Atlantic provinces,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863846,2.1.13,0.0
2015,Atlantic provinces,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863846,2.1.13,x
2013,Atlantic provinces,"Film, television and video post-production","Other sales (x 1,000,000)",v97863847,2.1.14,x
2015,Atlantic provinces,"Film, television and video post-production","Other sales (x 1,000,000)",v97863847,2.1.14,x
2013,Quebec,"Film, television and video post-production","Total sales (x 1,000,000)",v97863848,3.1.1,201.8
2015,Quebec,"Film, television and video post-production","Total sales (x 1,000,000)",v97863848,3.1.1,277.2
2013,Quebec,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863849,3.1.2,x
2015,Quebec,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863849,3.1.2,x
2013,Quebec,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863850,3.1.3,9.6
2015,Quebec,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863850,3.1.3,12.1
2013,Quebec,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863851,3.1.4,x
2015,Quebec,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863851,3.1.4,x
2013,Quebec,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863852,3.1.5,x
2015,Quebec,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863852,3.1.5,1.5
2013,Quebec,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863853,3.1.6,72.3
2015,Quebec,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863853,3.1.6,160.8
2013,Quebec,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863854,3.1.7,x
2015,Quebec,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863854,3.1.7,x
2013,Quebec,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863855,3.1.8,17.0
2015,Quebec,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863855,3.1.8,14.5
2013,Quebec,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863856,3.1.9,x
2015,Quebec,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863856,3.1.9,x
2013,Quebec,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863857,3.1.10,x
2015,Quebec,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863857,3.1.10,x
2013,Quebec,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863858,3.1.11,x
2015,Quebec,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863858,3.1.11,0.6
2013,Quebec,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863859,3.1.12,x
2015,Quebec,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863859,3.1.12,23.6
2013,Quebec,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863860,3.1.13,x
2015,Quebec,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863860,3.1.13,x
2013,Quebec,"Film, television and video post-production","Other sales (x 1,000,000)",v97863861,3.1.14,8.3
2015,Quebec,"Film, television and video post-production","Other sales (x 1,000,000)",v97863861,3.1.14,x
2013,Ontario,"Film, television and video post-production","Total sales (x 1,000,000)",v97863862,4.1.1,276.5
2015,Ontario,"Film, television and video post-production","Total sales (x 1,000,000)",v97863862,4.1.1,297.3
2013,Ontario,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863863,4.1.2,x
2015,Ontario,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863863,4.1.2,x
2013,Ontario,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863864,4.1.3,48.3
2015,Ontario,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863864,4.1.3,43.3
2013,Ontario,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863865,4.1.4,21.3
2015,Ontario,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863865,4.1.4,18.1
2013,Ontario,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863866,4.1.5,3.4
2015,Ontario,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863866,4.1.5,6.0
2013,Ontario,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863867,4.1.6,101.5
2015,Ontario,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863867,4.1.6,96.1
2013,Ontario,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863868,4.1.7,x
2015,Ontario,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863868,4.1.7,33.3
2013,Ontario,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863869,4.1.8,1.5
2015,Ontario,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863869,4.1.8,6.8
2013,Ontario,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863870,4.1.9,x
2015,Ontario,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863870,4.1.9,2.3
2013,Ontario,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863871,4.1.10,2.6
2015,Ontario,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863871,4.1.10,5.4
2013,Ontario,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863872,4.1.11,2.6
2015,Ontario,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863872,4.1.11,4.1
2013,Ontario,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863873,4.1.12,23.3
2015,Ontario,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863873,4.1.12,18.9
2013,Ontario,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863874,4.1.13,x
2015,Ontario,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863874,4.1.13,x
2013,Ontario,"Film, television and video post-production","Other sales (x 1,000,000)",v97863875,4.1.14,27.3
2015,Ontario,"Film, television and video post-production","Other sales (x 1,000,000)",v97863875,4.1.14,x
2013,Prairie provinces,"Film, television and video post-production","Total sales (x 1,000,000)",v97863876,5.1.1,8.7
2015,Prairie provinces,"Film, television and video post-production","Total sales (x 1,000,000)",v97863876,5.1.1,12.1
2013,Prairie provinces,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863877,5.1.2,x
2015,Prairie provinces,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863877,5.1.2,0.8
2013,Prairie provinces,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863878,5.1.3,1.8
2015,Prairie provinces,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863878,5.1.3,3.2
2013,Prairie provinces,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863879,5.1.4,x
2015,Prairie provinces,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863879,5.1.4,x
2013,Prairie provinces,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863880,5.1.5,x
2015,Prairie provinces,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863880,5.1.5,x
2013,Prairie provinces,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863881,5.1.6,x
2015,Prairie provinces,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863881,5.1.6,x
2013,Prairie provinces,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863882,5.1.7,x
2015,Prairie provinces,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863882,5.1.7,x
2013,Prairie provinces,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863883,5.1.8,0.7
2015,Prairie provinces,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863883,5.1.8,x
2013,Prairie provinces,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863884,5.1.9,0.0
2015,Prairie provinces,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863884,5.1.9,0.0
2013,Prairie provinces,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863885,5.1.10,0.0
2015,Prairie provinces,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863885,5.1.10,x
2013,Prairie provinces,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863886,5.1.11,x
2015,Prairie provinces,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863886,5.1.11,x
2013,Prairie provinces,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863887,5.1.12,x
2015,Prairie provinces,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863887,5.1.12,0.2
2013,Prairie provinces,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863888,5.1.13,3.9
2015,Prairie provinces,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863888,5.1.13,x
2013,Prairie provinces,"Film, television and video post-production","Other sales (x 1,000,000)",v97863889,5.1.14,x
2015,Prairie provinces,"Film, television and video post-production","Other sales (x 1,000,000)",v97863889,5.1.14,x
2013,British Columbia and Territories,"Film, television and video post-production","Total sales (x 1,000,000)",v97863890,6.1.1,225.3
2015,British Columbia and Territories,"Film, television and video post-production","Total sales (x 1,000,000)",v97863890,6.1.1,290.5
2013,British Columbia and Territories,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863891,6.1.2,x
2015,British Columbia and Territories,"Film, television and video post-production","Motion Picture film laboratory services (x 1,000,000)",v97863891,6.1.2,x
2013,British Columbia and Territories,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863892,6.1.3,9.6
2015,British Columbia and Territories,"Film, television and video post-production","Editing services for audiovisual works (x 1,000,000)",v97863892,6.1.3,7.7
2013,British Columbia and Territories,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863893,6.1.4,x
2015,British Columbia and Territories,"Film, television and video post-production","Transfer services (x 1,000,000)",v97863893,6.1.4,x
2013,British Columbia and Territories,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863894,6.1.5,4.0
2015,British Columbia and Territories,"Film, television and video post-production","Colour correction and digital restoration services (x 1,000,000)",v97863894,6.1.5,1.5
2013,British Columbia and Territories,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863895,6.1.6,149.3
2015,British Columbia and Territories,"Film, television and video post-production","Visual effects and animation services for audiovisual works (x 1,000,000)",v97863895,6.1.6,178.1
2013,British Columbia and Territories,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863896,6.1.7,35.2
2015,British Columbia and Territories,"Film, television and video post-production","3D Visual effects and animation services for audiovisual works (x 1,000,000)",v97863896,6.1.7,x
2013,British Columbia and Territories,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863897,6.1.8,2.7
2015,British Columbia and Territories,"Film, television and video post-production","Subtitling, titling and captioning services (x 1,000,000)",v97863897,6.1.8,x
2013,British Columbia and Territories,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863898,6.1.9,x
2015,British Columbia and Territories,"Film, television and video post-production","DVD and Blu-ray authoring services (x 1,000,000)",v97863898,6.1.9,x
2013,British Columbia and Territories,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863899,6.1.10,x
2015,British Columbia and Territories,"Film, television and video post-production","Format conversion services, digital encoding and conversion (x 1,000,000)",v97863899,6.1.10,x
2013,British Columbia and Territories,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863900,6.1.11,x
2015,British Columbia and Territories,"Film, television and video post-production","Duplication and copying services (x 1,000,000)",v97863900,6.1.11,x
2013,British Columbia and Territories,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863901,6.1.12,x
2015,British Columbia and Territories,"Film, television and video post-production","Sound editing and design services (x 1,000,000)",v97863901,6.1.12,x
2013,British Columbia and Territories,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863902,6.1.13,x
2015,British Columbia and Territories,"Film, television and video post-production","Contract production of audiovisual works (x 1,000,000)",v97863902,6.1.13,x
2013,British Columbia and Territories,"Film, television and video post-production","Other sales (x 1,000,000)",v97863903,6.1.14,x
2015,British Columbia and Territories,"Film, television and video post-production","Other sales (x 1,000,000)",v97863903,6.1.14,17.0
