Ref_Date,GEO,SALES,Vector,Coordinate,Value
2013,British Columbia,Exported,v52222415,6.8,x
2014,British Columbia,Exported,v52222415,6.8,5278578.00000000
2015,British Columbia,Exported,v52222415,6.8,12656814.00000000
2007,British Columbia,Government and public agencies,v52222421,6.9,9540000.00000000
2008,British Columbia,Government and public agencies,v52222421,6.9,14040510.00000000
2009,British Columbia,Government and public agencies,v52222421,6.9,F
2010,British Columbia,Government and public agencies,v52222421,6.9,x
2011,British Columbia,Government and public agencies,v52222421,6.9,10081420.00000000
2012,British Columbia,Government and public agencies,v52222421,6.9,16028435.00000000
2013,British Columbia,Government and public agencies,v52222421,6.9,18795128.00000000
2014,British Columbia,Government and public agencies,v52222421,6.9,11469923.00000000
2015,British Columbia,Government and public agencies,v52222421,6.9,16710471.00000000
2007,British Columbia,Other channels,v52222427,6.10,F
2008,British Columbia,Other channels,v52222427,6.10,18551650.00000000
2009,British Columbia,Other channels,v52222427,6.10,F
2010,British Columbia,Other channels,v52222427,6.10,x
2011,British Columbia,Other channels,v52222427,6.10,31207130.00000000
2012,British Columbia,Other channels,v52222427,6.10,34080830.00000000
2013,British Columbia,Other channels,v52222427,6.10,x
2014,British Columbia,Other channels,v52222427,6.10,37935401.00000000
2015,British Columbia,Other channels,v52222427,6.10,25107717.00000000
