Ref_Date,GEO,NAICS,SALES,Vector,Coordinate,Value
2013,Canada,Food services and drinking places,Total sales,v106013864,1.1.1,100.0
2014,Canada,Food services and drinking places,Total sales,v106013864,1.1.1,100.0
2013,Canada,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013865,1.1.2,13.3
2014,Canada,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013865,1.1.2,13.0
2013,Canada,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013866,1.1.3,83.9
2014,Canada,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013866,1.1.3,84.1
2013,Canada,Food services and drinking places,Other sales,v106013867,1.1.4,2.7
2014,Canada,Food services and drinking places,Other sales,v106013867,1.1.4,3.0
2013,Canada,Full-service restaurants,Total sales,v106013868,1.2.1,100.0
2014,Canada,Full-service restaurants,Total sales,v106013868,1.2.1,100.0
2013,Canada,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013869,1.2.2,21.2
2014,Canada,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013869,1.2.2,19.9
2013,Canada,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013870,1.2.3,76.7
2014,Canada,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013870,1.2.3,78.2
2013,Canada,Full-service restaurants,Other sales,v106013871,1.2.4,2.1
2014,Canada,Full-service restaurants,Other sales,v106013871,1.2.4,1.9
2013,Canada,Drinking places (alcoholic beverages),Total sales,v107787393,1.3.1,100.0
2014,Canada,Drinking places (alcoholic beverages),Total sales,v107787393,1.3.1,100.0
2013,Canada,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787394,1.3.2,68.7
2014,Canada,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787394,1.3.2,68.3
2013,Canada,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787395,1.3.3,21.3
2014,Canada,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787395,1.3.3,22.1
2013,Canada,Drinking places (alcoholic beverages),Other sales,v107787396,1.3.4,10.1
2014,Canada,Drinking places (alcoholic beverages),Other sales,v107787396,1.3.4,9.6
2013,Newfoundland and Labrador,Food services and drinking places,Total sales,v106013884,2.1.1,100.0
2014,Newfoundland and Labrador,Food services and drinking places,Total sales,v106013884,2.1.1,100.0
2013,Newfoundland and Labrador,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013885,2.1.2,10.1
2014,Newfoundland and Labrador,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013885,2.1.2,10.2
2013,Newfoundland and Labrador,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013886,2.1.3,87.3
2014,Newfoundland and Labrador,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013886,2.1.3,85.8
2013,Newfoundland and Labrador,Food services and drinking places,Other sales,v106013887,2.1.4,2.6
2014,Newfoundland and Labrador,Food services and drinking places,Other sales,v106013887,2.1.4,4.0
2013,Newfoundland and Labrador,Full-service restaurants,Total sales,v106013888,2.2.1,100.0
2014,Newfoundland and Labrador,Full-service restaurants,Total sales,v106013888,2.2.1,100.0
2013,Newfoundland and Labrador,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013889,2.2.2,10.7
2014,Newfoundland and Labrador,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013889,2.2.2,8.0
2013,Newfoundland and Labrador,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013890,2.2.3,86.3
2014,Newfoundland and Labrador,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013890,2.2.3,88.9
2013,Newfoundland and Labrador,Full-service restaurants,Other sales,v106013891,2.2.4,3.0
2014,Newfoundland and Labrador,Full-service restaurants,Other sales,v106013891,2.2.4,3.2
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),Total sales,v107787397,2.3.1,100.0
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),Total sales,v107787397,2.3.1,100.0
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787398,2.3.2,77.3
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787398,2.3.2,73.6
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787399,2.3.3,9.5
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787399,2.3.3,9.5
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),Other sales,v107787400,2.3.4,13.2
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),Other sales,v107787400,2.3.4,16.9
2013,Prince Edward Island,Food services and drinking places,Total sales,v106013904,3.1.1,100.0
2014,Prince Edward Island,Food services and drinking places,Total sales,v106013904,3.1.1,100.0
2013,Prince Edward Island,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013905,3.1.2,8.2
2014,Prince Edward Island,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013905,3.1.2,8.5
2013,Prince Edward Island,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013906,3.1.3,90.1
2014,Prince Edward Island,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013906,3.1.3,90.6
2013,Prince Edward Island,Food services and drinking places,Other sales,v106013907,3.1.4,1.7
2014,Prince Edward Island,Food services and drinking places,Other sales,v106013907,3.1.4,0.9
2013,Prince Edward Island,Full-service restaurants,Total sales,v106013908,3.2.1,100.0
2014,Prince Edward Island,Full-service restaurants,Total sales,v106013908,3.2.1,100.0
2013,Prince Edward Island,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013909,3.2.2,15.6
2014,Prince Edward Island,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013909,3.2.2,13.5
2013,Prince Edward Island,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013910,3.2.3,81.7
