Ref_Date,GEO,NAICS,SALES,Vector,Coordinate,Value
2014,Prince Edward Island,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013910,3.2.3,86.2
2013,Prince Edward Island,Full-service restaurants,Other sales,v106013911,3.2.4,2.7
2014,Prince Edward Island,Full-service restaurants,Other sales,v106013911,3.2.4,0.3
2013,Prince Edward Island,Drinking places (alcoholic beverages),Total sales,v107787401,3.3.1,100.0
2014,Prince Edward Island,Drinking places (alcoholic beverages),Total sales,v107787401,3.3.1,100.0
2013,Prince Edward Island,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787402,3.3.2,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787402,3.3.2,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787403,3.3.3,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787403,3.3.3,x
2013,Prince Edward Island,Drinking places (alcoholic beverages),Other sales,v107787404,3.3.4,x
2014,Prince Edward Island,Drinking places (alcoholic beverages),Other sales,v107787404,3.3.4,9.1
2013,Nova Scotia,Food services and drinking places,Total sales,v106013924,4.1.1,100.0
2014,Nova Scotia,Food services and drinking places,Total sales,v106013924,4.1.1,100.0
2013,Nova Scotia,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013925,4.1.2,11.6
2014,Nova Scotia,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013925,4.1.2,10.8
2013,Nova Scotia,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013926,4.1.3,86.3
2014,Nova Scotia,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013926,4.1.3,85.4
2013,Nova Scotia,Food services and drinking places,Other sales,v106013927,4.1.4,2.1
2014,Nova Scotia,Food services and drinking places,Other sales,v106013927,4.1.4,3.8
2013,Nova Scotia,Full-service restaurants,Total sales,v106013928,4.2.1,100.0
2014,Nova Scotia,Full-service restaurants,Total sales,v106013928,4.2.1,100.0
2013,Nova Scotia,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013929,4.2.2,18.7
2014,Nova Scotia,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013929,4.2.2,15.0
2013,Nova Scotia,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013930,4.2.3,78.9
2014,Nova Scotia,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013930,4.2.3,79.8
2013,Nova Scotia,Full-service restaurants,Other sales,v106013931,4.2.4,2.4
2014,Nova Scotia,Full-service restaurants,Other sales,v106013931,4.2.4,5.2
2013,Nova Scotia,Drinking places (alcoholic beverages),Total sales,v107787405,4.3.1,100.0
2014,Nova Scotia,Drinking places (alcoholic beverages),Total sales,v107787405,4.3.1,100.0
2013,Nova Scotia,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787406,4.3.2,58.4
2014,Nova Scotia,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787406,4.3.2,57.4
2013,Nova Scotia,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787407,4.3.3,32.8
2014,Nova Scotia,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787407,4.3.3,35.8
2013,Nova Scotia,Drinking places (alcoholic beverages),Other sales,v107787408,4.3.4,8.8
2014,Nova Scotia,Drinking places (alcoholic beverages),Other sales,v107787408,4.3.4,6.8
2013,New Brunswick,Food services and drinking places,Total sales,v106013944,5.1.1,100.0
2014,New Brunswick,Food services and drinking places,Total sales,v106013944,5.1.1,100.0
2013,New Brunswick,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013945,5.1.2,8.3
2014,New Brunswick,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013945,5.1.2,8.0
2013,New Brunswick,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013946,5.1.3,89.5
2014,New Brunswick,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013946,5.1.3,90.1
2013,New Brunswick,Food services and drinking places,Other sales,v106013947,5.1.4,2.2
2014,New Brunswick,Food services and drinking places,Other sales,v106013947,5.1.4,1.9
2013,New Brunswick,Full-service restaurants,Total sales,v106013948,5.2.1,100.0
2014,New Brunswick,Full-service restaurants,Total sales,v106013948,5.2.1,100.0
2013,New Brunswick,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013949,5.2.2,x
2014,New Brunswick,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013949,5.2.2,x
2013,New Brunswick,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013950,5.2.3,83.5
2014,New Brunswick,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013950,5.2.3,86.3
2013,New Brunswick,Full-service restaurants,Other sales,v106013951,5.2.4,x
2014,New Brunswick,Full-service restaurants,Other sales,v106013951,5.2.4,x
2013,New Brunswick,Drinking places (alcoholic beverages),Total sales,v107787409,5.3.1,100.0
2014,New Brunswick,Drinking places (alcoholic beverages),Total sales,v107787409,5.3.1,100.0
2013,New Brunswick,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787410,5.3.2,72.4
2014,New Brunswick,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787410,5.3.2,71.4
2013,New Brunswick,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787411,5.3.3,13.6
2014,New Brunswick,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787411,5.3.3,10.4
2013,New Brunswick,Drinking places (alcoholic beverages),Other sales,v107787412,5.3.4,14.0
2014,New Brunswick,Drinking places (alcoholic beverages),Other sales,v107787412,5.3.4,18.2
2013,Quebec,Food services and drinking places,Total sales,v106013964,6.1.1,100.0
2014,Quebec,Food services and drinking places,Total sales,v106013964,6.1.1,100.0
2013,Quebec,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013965,6.1.2,16.3
2014,Quebec,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013965,6.1.2,14.8
2013,Quebec,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013966,6.1.3,80.8
2014,Quebec,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013966,6.1.3,82.0
2013,Quebec,Food services and drinking places,Other sales,v106013967,6.1.4,2.9
2014,Quebec,Food services and drinking places,Other sales,v106013967,6.1.4,3.2
2013,Quebec,Full-service restaurants,Total sales,v106013968,6.2.1,100.0
2014,Quebec,Full-service restaurants,Total sales,v106013968,6.2.1,100.0
2013,Quebec,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013969,6.2.2,21.2
2014,Quebec,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013969,6.2.2,18.5
2013,Quebec,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013970,6.2.3,76.8
2014,Quebec,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013970,6.2.3,78.8
2013,Quebec,Full-service restaurants,Other sales,v106013971,6.2.4,2.1
2014,Quebec,Full-service restaurants,Other sales,v106013971,6.2.4,2.6
2013,Quebec,Drinking places (alcoholic beverages),Total sales,v107787413,6.3.1,100.0
2014,Quebec,Drinking places (alcoholic beverages),Total sales,v107787413,6.3.1,100.0
2013,Quebec,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787414,6.3.2,74.7
2014,Quebec,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787414,6.3.2,70.2
2013,Quebec,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787415,6.3.3,12.2
2014,Quebec,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787415,6.3.3,15.2
2013,Quebec,Drinking places (alcoholic beverages),Other sales,v107787416,6.3.4,13.1
2014,Quebec,Drinking places (alcoholic beverages),Other sales,v107787416,6.3.4,14.6
2013,Ontario,Food services and drinking places,Total sales,v106013984,7.1.1,100.0
2014,Ontario,Food services and drinking places,Total sales,v106013984,7.1.1,100.0
2013,Ontario,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013985,7.1.2,12.0
2014,Ontario,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106013985,7.1.2,12.1
2013,Ontario,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013986,7.1.3,85.9
2014,Ontario,Food services and drinking places,Sales of food and non-alcoholic beverages,v106013986,7.1.3,85.7
2013,Ontario,Food services and drinking places,Other sales,v106013987,7.1.4,2.1
2014,Ontario,Food services and drinking places,Other sales,v106013987,7.1.4,2.3
2013,Ontario,Full-service restaurants,Total sales,v106013988,7.2.1,100.0
2014,Ontario,Full-service restaurants,Total sales,v106013988,7.2.1,100.0
2013,Ontario,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013989,7.2.2,22.2
2014,Ontario,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106013989,7.2.2,22.0
2013,Ontario,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013990,7.2.3,76.3
2014,Ontario,Full-service restaurants,Sales of food and non-alcoholic beverages,v106013990,7.2.3,76.6
2013,Ontario,Full-service restaurants,Other sales,v106013991,7.2.4,1.5
2014,Ontario,Full-service restaurants,Other sales,v106013991,7.2.4,1.4
2013,Ontario,Drinking places (alcoholic beverages),Total sales,v107787417,7.3.1,100.0
2014,Ontario,Drinking places (alcoholic beverages),Total sales,v107787417,7.3.1,100.0
2013,Ontario,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787418,7.3.2,75.6
2014,Ontario,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787418,7.3.2,75.9
2013,Ontario,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787419,7.3.3,19.4
2014,Ontario,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787419,7.3.3,19.1
2013,Ontario,Drinking places (alcoholic beverages),Other sales,v107787420,7.3.4,5.0
2014,Ontario,Drinking places (alcoholic beverages),Other sales,v107787420,7.3.4,5.0
2013,Manitoba,Food services and drinking places,Total sales,v106014004,8.1.1,100.0
2014,Manitoba,Food services and drinking places,Total sales,v106014004,8.1.1,100.0
2013,Manitoba,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014005,8.1.2,11.8
2014,Manitoba,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014005,8.1.2,11.8
2013,Manitoba,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014006,8.1.3,85.5
2014,Manitoba,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014006,8.1.3,85.2
2013,Manitoba,Food services and drinking places,Other sales,v106014007,8.1.4,2.8
2014,Manitoba,Food services and drinking places,Other sales,v106014007,8.1.4,3.0
2013,Manitoba,Full-service restaurants,Total sales,v106014008,8.2.1,100.0
2014,Manitoba,Full-service restaurants,Total sales,v106014008,8.2.1,100.0
2013,Manitoba,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014009,8.2.2,22.1
2014,Manitoba,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014009,8.2.2,22.3
2013,Manitoba,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014010,8.2.3,74.6
2014,Manitoba,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014010,8.2.3,75.0
2013,Manitoba,Full-service restaurants,Other sales,v106014011,8.2.4,3.3
2014,Manitoba,Full-service restaurants,Other sales,v106014011,8.2.4,2.7
2013,Manitoba,Drinking places (alcoholic beverages),Total sales,v107787421,8.3.1,100.0
2014,Manitoba,Drinking places (alcoholic beverages),Total sales,v107787421,8.3.1,100.0
2013,Manitoba,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787422,8.3.2,76.9
2014,Manitoba,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787422,8.3.2,78.9
2013,Manitoba,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787423,8.3.3,7.6
2014,Manitoba,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787423,8.3.3,9.0
2013,Manitoba,Drinking places (alcoholic beverages),Other sales,v107787424,8.3.4,15.5
2014,Manitoba,Drinking places (alcoholic beverages),Other sales,v107787424,8.3.4,12.1
2013,Saskatchewan,Food services and drinking places,Total sales,v106014024,9.1.1,100.0
2014,Saskatchewan,Food services and drinking places,Total sales,v106014024,9.1.1,100.0
2013,Saskatchewan,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014025,9.1.2,15.2
2014,Saskatchewan,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014025,9.1.2,14.3
2013,Saskatchewan,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014026,9.1.3,80.8
2014,Saskatchewan,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014026,9.1.3,78.9
2013,Saskatchewan,Food services and drinking places,Other sales,v106014027,9.1.4,4.0
2014,Saskatchewan,Food services and drinking places,Other sales,v106014027,9.1.4,6.7
2013,Saskatchewan,Full-service restaurants,Total sales,v106014028,9.2.1,100.0
2014,Saskatchewan,Full-service restaurants,Total sales,v106014028,9.2.1,100.0
2013,Saskatchewan,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014029,9.2.2,21.9
2014,Saskatchewan,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014029,9.2.2,20.1
2013,Saskatchewan,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014030,9.2.3,74.7
2014,Saskatchewan,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014030,9.2.3,77.2
2013,Saskatchewan,Full-service restaurants,Other sales,v106014031,9.2.4,3.4
2014,Saskatchewan,Full-service restaurants,Other sales,v106014031,9.2.4,2.7
2013,Saskatchewan,Drinking places (alcoholic beverages),Total sales,v107787425,9.3.1,100.0
2014,Saskatchewan,Drinking places (alcoholic beverages),Total sales,v107787425,9.3.1,100.0
2013,Saskatchewan,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787426,9.3.2,63.2
2014,Saskatchewan,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787426,9.3.2,62.7
2013,Saskatchewan,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787427,9.3.3,x
2014,Saskatchewan,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787427,9.3.3,23.3
2013,Saskatchewan,Drinking places (alcoholic beverages),Other sales,v107787428,9.3.4,x
2014,Saskatchewan,Drinking places (alcoholic beverages),Other sales,v107787428,9.3.4,14.0
2013,Alberta,Food services and drinking places,Total sales,v106014044,10.1.1,100.0
2014,Alberta,Food services and drinking places,Total sales,v106014044,10.1.1,100.0
2013,Alberta,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014045,10.1.2,12.9
2014,Alberta,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014045,10.1.2,13.9
2013,Alberta,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014046,10.1.3,83.4
2014,Alberta,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014046,10.1.3,82.3
2013,Alberta,Food services and drinking places,Other sales,v106014047,10.1.4,3.7
2014,Alberta,Food services and drinking places,Other sales,v106014047,10.1.4,3.8
2013,Alberta,Full-service restaurants,Total sales,v106014048,10.2.1,100.0
2014,Alberta,Full-service restaurants,Total sales,v106014048,10.2.1,100.0
2013,Alberta,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014049,10.2.2,21.6
2014,Alberta,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014049,10.2.2,22.5
2013,Alberta,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014050,10.2.3,75.8
2014,Alberta,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014050,10.2.3,75.6
2013,Alberta,Full-service restaurants,Other sales,v106014051,10.2.4,2.6
2014,Alberta,Full-service restaurants,Other sales,v106014051,10.2.4,1.9
2013,Alberta,Drinking places (alcoholic beverages),Total sales,v107787429,10.3.1,100.0
2014,Alberta,Drinking places (alcoholic beverages),Total sales,v107787429,10.3.1,100.0
2013,Alberta,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787430,10.3.2,x
2014,Alberta,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787430,10.3.2,x
2013,Alberta,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787431,10.3.3,27.2
2014,Alberta,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787431,10.3.3,26.0
2013,Alberta,Drinking places (alcoholic beverages),Other sales,v107787432,10.3.4,x
2014,Alberta,Drinking places (alcoholic beverages),Other sales,v107787432,10.3.4,x
2013,British Columbia,Food services and drinking places,Total sales,v106014064,11.1.1,100.0
2014,British Columbia,Food services and drinking places,Total sales,v106014064,11.1.1,100.0
2013,British Columbia,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014065,11.1.2,14.3
2014,British Columbia,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014065,11.1.2,13.1
2013,British Columbia,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014066,11.1.3,82.5
2014,British Columbia,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014066,11.1.3,84.2
2013,British Columbia,Food services and drinking places,Other sales,v106014067,11.1.4,3.1
2014,British Columbia,Food services and drinking places,Other sales,v106014067,11.1.4,2.7
2013,British Columbia,Full-service restaurants,Total sales,v106014068,11.2.1,100.0
2014,British Columbia,Full-service restaurants,Total sales,v106014068,11.2.1,100.0
2013,British Columbia,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014069,11.2.2,20.0
2014,British Columbia,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014069,11.2.2,16.8
2013,British Columbia,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014070,11.2.3,77.5
2014,British Columbia,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014070,11.2.3,82.1
2013,British Columbia,Full-service restaurants,Other sales,v106014071,11.2.4,2.4
2014,British Columbia,Full-service restaurants,Other sales,v106014071,11.2.4,1.1
2013,British Columbia,Drinking places (alcoholic beverages),Total sales,v107787433,11.3.1,100.0
2014,British Columbia,Drinking places (alcoholic beverages),Total sales,v107787433,11.3.1,100.0
2013,British Columbia,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787434,11.3.2,60.1
2014,British Columbia,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787434,11.3.2,61.6
2013,British Columbia,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787435,11.3.3,29.6
2014,British Columbia,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787435,11.3.3,31.0
2013,British Columbia,Drinking places (alcoholic beverages),Other sales,v107787436,11.3.4,10.3
2014,British Columbia,Drinking places (alcoholic beverages),Other sales,v107787436,11.3.4,7.4
2013,Yukon,Food services and drinking places,Total sales,v106014084,12.1.1,100.0
2014,Yukon,Food services and drinking places,Total sales,v106014084,12.1.1,100.0
2013,Yukon,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014085,12.1.2,x
2014,Yukon,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014085,12.1.2,14.3
2013,Yukon,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014086,12.1.3,79.8
2014,Yukon,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014086,12.1.3,81.0
2013,Yukon,Food services and drinking places,Other sales,v106014087,12.1.4,x
2014,Yukon,Food services and drinking places,Other sales,v106014087,12.1.4,4.7
2013,Yukon,Full-service restaurants,Total sales,v106014088,12.2.1,100.0
2014,Yukon,Full-service restaurants,Total sales,v106014088,12.2.1,100.0
2013,Yukon,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014089,12.2.2,x
2014,Yukon,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014089,12.2.2,x
2013,Yukon,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014090,12.2.3,x
2014,Yukon,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014090,12.2.3,x
2013,Yukon,Full-service restaurants,Other sales,v106014091,12.2.4,x
2014,Yukon,Full-service restaurants,Other sales,v106014091,12.2.4,x
2013,Yukon,Drinking places (alcoholic beverages),Total sales,v107787437,12.3.1,100.0
2014,Yukon,Drinking places (alcoholic beverages),Total sales,v107787437,12.3.1,100.0
2013,Yukon,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787438,12.3.2,x
2014,Yukon,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787438,12.3.2,x
2013,Yukon,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787439,12.3.3,x
2014,Yukon,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787439,12.3.3,x
2013,Yukon,Drinking places (alcoholic beverages),Other sales,v107787440,12.3.4,x
2014,Yukon,Drinking places (alcoholic beverages),Other sales,v107787440,12.3.4,x
2013,Northwest Territories,Food services and drinking places,Total sales,v106014104,13.1.1,100.0
