Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2013,Canada,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848521,1.5.3,719.4
2014,Canada,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848521,1.5.3,716.3
2012,Canada,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848522,1.5.4,3.8
2013,Canada,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848522,1.5.4,3.2
2014,Canada,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848522,1.5.4,3.3
2012,Newfoundland and Labrador,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848523,2.1.1,728.6
2013,Newfoundland and Labrador,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848523,2.1.1,783.7
2014,Newfoundland and Labrador,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848523,2.1.1,816.3
2012,Newfoundland and Labrador,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848524,2.1.2,708.5
2013,Newfoundland and Labrador,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848524,2.1.2,760.1
2014,Newfoundland and Labrador,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848524,2.1.2,794.1
2012,Newfoundland and Labrador,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848525,2.1.3,252.3
2013,Newfoundland and Labrador,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848525,2.1.3,270.2
2014,Newfoundland and Labrador,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848525,2.1.3,277.8
2012,Newfoundland and Labrador,Food services and drinking places,Operating profit margin (percent),v99848526,2.1.4,2.8
2013,Newfoundland and Labrador,Food services and drinking places,Operating profit margin (percent),v99848526,2.1.4,3.0
2014,Newfoundland and Labrador,Food services and drinking places,Operating profit margin (percent),v99848526,2.1.4,2.7
2012,Newfoundland and Labrador,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848527,2.2.1,212.6
2013,Newfoundland and Labrador,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848527,2.2.1,229.4
2014,Newfoundland and Labrador,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848527,2.2.1,238.4
2012,Newfoundland and Labrador,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848528,2.2.2,208.9
2013,Newfoundland and Labrador,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848528,2.2.2,225.5
2014,Newfoundland and Labrador,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848528,2.2.2,234.6
2012,Newfoundland and Labrador,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848529,2.2.3,73.2
2013,Newfoundland and Labrador,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848529,2.2.3,78.6
2014,Newfoundland and Labrador,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848529,2.2.3,81.2
2012,Newfoundland and Labrador,Full-service restaurants,Operating profit margin (percent),v99848530,2.2.4,1.7
2013,Newfoundland and Labrador,Full-service restaurants,Operating profit margin (percent),v99848530,2.2.4,1.7
2014,Newfoundland and Labrador,Full-service restaurants,Operating profit margin (percent),v99848530,2.2.4,1.6
2012,Newfoundland and Labrador,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848531,2.3.1,338.6
2013,Newfoundland and Labrador,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848531,2.3.1,356.8
2014,Newfoundland and Labrador,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848531,2.3.1,374.1
2012,Newfoundland and Labrador,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848532,2.3.2,328.6
2013,Newfoundland and Labrador,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848532,2.3.2,345.4
2014,Newfoundland and Labrador,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848532,2.3.2,365.5
2012,Newfoundland and Labrador,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848533,2.3.3,109.1
2013,Newfoundland and Labrador,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848533,2.3.3,114.1
2014,Newfoundland and Labrador,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848533,2.3.3,116.7
2012,Newfoundland and Labrador,Limited-service eating places,Operating profit margin (percent),v99848534,2.3.4,2.9
2013,Newfoundland and Labrador,Limited-service eating places,Operating profit margin (percent),v99848534,2.3.4,3.2
2014,Newfoundland and Labrador,Limited-service eating places,Operating profit margin (percent),v99848534,2.3.4,2.3
2012,Newfoundland and Labrador,Special food services,"Operating revenue (x 1,000,000)",v99848535,2.4.1,121.2
2013,Newfoundland and Labrador,Special food services,"Operating revenue (x 1,000,000)",v99848535,2.4.1,135.0
2014,Newfoundland and Labrador,Special food services,"Operating revenue (x 1,000,000)",v99848535,2.4.1,140.3
