Ref_Date,GEO,MAP,Vector,Coordinate,Value
1976,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,50.0000
1977,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,48.0000
1978,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,32.0000
1979,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,42.0000
1980,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,47.0000
1981,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,79.0000
1982,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,72.0000
1983,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,80.0000
1984,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,117.0000
1985,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,60.0000
1986,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,169.0000
1987,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,135.0000
1988,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,337.0000
1989,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,227.0000
1990,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,144.0000
1991,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,154.0000
1992,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,448.0000
1993,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,141.0000
1994,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,141.0000
1995,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,143.0000
1996,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,271.0000
1997,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,245.0000
1998,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,100.0000
1999,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,62.0000
2000,New Brunswick,"Value of maple sugar (dollars x 1,000)",v47916,3.2,19.0000
1924,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1925,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,2.0000
1926,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,4.0000
1927,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1928,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1929,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1930,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,3.0000
1931,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,5.0000
1932,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1933,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,15.0000
1934,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1935,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,13.0000
1936,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1937,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1938,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,23.0000
1939,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1940,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,17.0000
1941,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1942,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,17.0000
1943,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,13.0000
1944,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,12.0000
1945,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1946,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,10.0000
1947,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,23.0000
1948,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,12.0000
1949,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,7.0000
1950,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,14.0000
1951,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,10.0000
1952,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,12.0000
1953,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,5.0000
1954,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1955,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1956,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,10.0000
1957,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,19.0000
1958,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,14.0000
1959,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1960,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,10.0000
1961,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,13.0000
1962,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1963,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1964,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,5.0000
1965,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,12.0000
1966,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,11.0000
1967,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1968,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1969,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1970,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1971,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1972,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,13.0000
1973,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1974,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1975,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1976,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1977,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1978,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,5.0000
1979,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,10.0000
1980,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,6.0000
1981,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1982,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,5.0000
1983,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,8.0000
1984,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1985,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,9.0000
1986,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,22.0000
1987,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,19.0000
1988,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,29.0000
1989,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,28.0000
1990,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,32.0000
1991,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,33.0000
1992,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,162.0000
1993,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,82.0000
1994,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,82.0000
1995,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,78.0000
1996,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,84.0000
1997,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,100.0000
1998,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,127.0000
1999,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,94.0000
2000,New Brunswick,"Production of maple syrup (gallons x 1,000)",v47921,3.3,72.0000
1924,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,27.0000
1925,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,5.0000
1926,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,11.0000
1927,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,15.0000
1928,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,18.0000
1929,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,22.0000
1930,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,6.0000
1931,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,11.0000
1932,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,17.0000
1933,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,25.0000
1934,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,10.0000
1935,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,24.0000
1936,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,19.0000
1937,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,10.0000
1938,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,38.0000
1939,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,16.0000
1940,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,31.0000
1941,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,24.0000
1942,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,41.0000
1943,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,36.0000
1944,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,41.0000
1945,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,30.0000
1946,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,38.0000
1947,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,98.0000
1948,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,51.0000
1949,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,30.0000
1950,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,56.0000
1951,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,43.0000
1952,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,52.0000
1953,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,24.0000
1954,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,51.0000
1955,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,52.0000
1956,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,51.0000
1957,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,95.0000
1958,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,70.0000
1959,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,41.0000
1960,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,53.0000
1961,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,69.0000
1962,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,33.0000
1963,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,42.0000
1964,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,27.0000
1965,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,76.0000
1966,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,65.0000
1967,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,54.0000
1968,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,58.0000
1969,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,65.0000
1970,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,57.0000
1971,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,60.0000
1972,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,117.0000
1973,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,59.0000
1974,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,70.0000
1975,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,116.0000
1976,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,120.0000
1977,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,127.0000
1978,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,82.0000
1979,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,175.0000
1980,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,108.0000
1981,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,159.0000
1982,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,109.0000
1983,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,191.0000
1984,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,237.0000
1985,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,231.0000
1986,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,608.0000
1987,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,645.0000
1988,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,1078.0000
1989,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,1029.0000
1990,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,1182.0000
1991,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,1245.0000
1992,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,5910.0000
