Ref_Date,GEO,NAICS,INDPROF,Vector,Coordinate,Value
2013,Canada,Motion picture and video production,Total production revenue for contract and in-house production,v97887064,1.1.1,100.0
2013,Canada,Motion picture and video production,Feature films,v97887065,1.1.2,13.9
2013,Canada,Motion picture and video production,Television productions,v97887066,1.1.3,64.0
2013,Canada,Motion picture and video production,Commercials,v97887067,1.1.4,7.6
2013,Canada,Motion picture and video production,Digital media productions and/or convergent digital media productions,v97887068,1.1.5,4.4
2013,Canada,Motion picture and video production,Videos and/or other sales,v97887069,1.1.6,10.1
